,0,1,2
0,지역 및 국가,발생,사망
1,중국,"81,865 ","3,335 "
2,홍콩,960 ,4 
3,대만,379 ,5  
4,마카오,45 ,0  
5,일본,"4,768 ",85  
6,싱가포르,"1,623 ",6  
7,태국,"2,369 ",30  
8,말레이시아,"3,963 ",63  
9,베트남,249 ,0  
10,인도,"5,194 ",149  
11,필리핀,"3,764 ",177  
12,캄보디아,115 ,0  
13,네팔,9 ,0  
14,러시아,"7,497 ",58  
15,스리랑카,186 ,6  
16,아프가니스탄,423 ,14  
17,파키스탄,"4,183 ",58  
18,인도네시아,"2,738 ",221  
19,부탄,5 ,0  
20,몰디브,19 ,0  
21,방글라데시,164 ,17  
22,브루나이,135 ,1  
23,몽골,15 ,0  
24,카자흐스탄,709 ,6 
25,우즈베키스탄,534 ,3 
26,키르기스스탄,270 ,4 
27,동티모르,1 ,0 
28,미얀마,22 ,3 
29,라오스,12 ,0 
30,이란,"64,586 ","3,993 "
31,쿠웨이트,855 ,1  
32,바레인,821 ,5  
33,아랍에미리트,"2,659 ",12  
34,이라크,"1,122 ",65  
35,오만,419 ,2  
36,레바논,575 ,19  
37,이스라엘,"9,404 ",71  
38,이집트,"1,450 ",94  
39,알제리,"1,468 ",194  
40,카타르,"2,210 ",6  
41,요르단,353 ,6  
42,튀니지,623 ,23  
43,사우디아라비아,"2,932 ",41  
44,모로코,"1,242 ",91  
45,시리아,19 ,2 
46,리비아,21,1
47,미국,"424,945 ","14,529 "
48,캐나다,"17,049 ",345  
49,브라질,"15,927 ",800  
50,멕시코,"2,439 ",125  
51,에콰도르,"3,747 ",191  
52,도미니카공화국,"1,956 ",98  
53,아르헨티나,"1,628 ",53  
54,칠레,"5,116 ",43  
55,콜롬비아,"1,579 ",46  
56,페루,"2,561 ",92  
57,코스타리카,467 ,2  
58,파라과이,115 ,5  
59,파나마,"2,100 ",55  
60,볼리비아,194 ,14 
61,자메이카,59 ,3 
62,온두라스,305 ,22 
63,세인트빈센트그레나딘,3 ,0 
64,쿠바,396 ,11 
65,가이아나,31 ,5 
66,베네수엘라,165 ,7 
67,앤티가바부다,15 ,0 
68,트리니다드토바고,106 ,8 
69,우루과이,415 ,6 
70,세인트루시아,14 ,0 
71,수리남,10 ,0 
72,과테말라,77 ,3 
73,바하마,33 ,5 
74,엘살바도르,78,4
75,바베이도스,60 ,2 
76,니카라과,6,1
77,아이티,25 ,1 
78,그레나다,12,0
79,벨리즈,5 ,0 
80,도미니카연방,15 ,0 
81,세인트키츠네비스,7 ,0 
82,이탈리아,"139,422 ","17,669 "
83,독일,"112,113 ","2,208  "
84,프랑스,"82,048 ","10,869  "
85,영국,"60,733 ","7,097  "
86,스페인,"146,690 ","14,555  "
87,오스트리아,"12,852 ",273  
88,크로아티아,"1,282 ",18  
89,핀란드,"2,308 ",34  
90,스웨덴,"7,693 ",591  
91,스위스,"22,789 ",705  
92,벨기에,"23,403 ","2,240  "
93,덴마크,"5,071 ",203  
94,에스토니아,"1,149 ",21  
95,조지아,208 ,3  
96,그리스,"1,832 ",81  
97,북마케도니아,599 ,27  
98,노르웨이,"5,863 ",69  
99,루마니아,"4,417 ",182  
100,네덜란드,"20,549 ","2,248  "
101,벨라루스,861 ,13  
102,리투아니아,880 ,15  
103,산마리노,279 ,34  
104,아제르바이잔,717 ,8  
105,아이슬란드,"1,586 ",6  
106,모나코,40 ,0  
107,룩셈부르크,"2,970 ",44  
108,아르메니아,877 ,8  
109,아일랜드,"5,709 ",210  
110,체코,"5,017 ",88  
111,포르투갈,"13,141 ",380  
112,라트비아,548 ,2  
113,안도라,551 ,22  
114,폴란드,"4,848 ",129  
115,우크라이나,"1,668 ",52  
116,헝가리,895 ,58  
117,보스니아 헤르체고비나,781 ,32  
118,슬로베니아,"1,055 ",36  
119,리히텐슈타인,78 ,1  
120,세르비아,"2,447 ",61  
121,슬로바키아,598 ,2  
122,불가리아,577 ,23  
123,몰타,293 ,0  
124,몰도바,"1,056 ",22  
125,알바니아,400 ,22  
126,사이프러스,494 ,14  
127,터키,"38,226 ",812 
128,몬테네그로,248 ,2 
129,코소보,184,5
130,호주,"5,956 ",45 
131,뉴질랜드,969 ,1  
132,피지,15 ,0 
133,파푸아뉴기니,1 ,0 
