,0,1,2
0,지역 및 국가,발생,사망
1,중국,"82,249 ","3,341 "
2,홍콩,"1,009 ",4  
3,대만,393 ,6  
4,마카오,45 ,0  
5,일본,"7,645 ",109  
6,싱가포르,"2,918 ",9  
7,태국,"2,579 ",40  
8,말레이시아,"4,683 ",76  
9,베트남,262 ,0  
10,인도,"9,152 ",308  
11,필리핀,"4,648 ",297  
12,캄보디아,122 ,0  
13,네팔,12 ,0  
14,러시아,"18,328 ",148  
15,스리랑카,210 ,7  
16,아프가니스탄,665 ,21  
17,파키스탄,"5,496 ",93  
18,인도네시아,"4,241 ",373  
19,부탄,5 ,0  
20,몰디브,20 ,0  
21,방글라데시,621 ,34  
22,브루나이,136 ,1  
23,몽골,16 ,0  
24,카자흐스탄,979 ,12 
25,우즈베키스탄,896 ,4 
26,키르기스스탄,419 ,5 
27,동티모르,2 ,0 
28,미얀마,41 ,4 
29,라오스,16 ,0 
30,이란,"73,303 ","4,585 "
31,쿠웨이트,"1,300 ",2  
32,바레인,"1,348 ",6  
33,아랍에미리트,"4,123 ",25  
34,이라크,"1,378 ",78  
35,오만,727 ,4  
36,레바논,632 ,20  
37,이스라엘,"11,586 ",116  
38,이집트,"2,065 ",159  
39,알제리,"1,914 ",296  
40,카타르,"3,231 ",7  
41,요르단,389 ,7  
42,튀니지,707 ,31  
43,사우디아라비아,"4,934 ",65  
44,모로코,"1,746 ",120  
45,시리아,25 ,2 
46,리비아,25,1
47,예멘,1 ,0 
48,미국,"577,842 ","23,232 "
49,캐나다,"25,663 ",780  
50,브라질,"23,430 ","1,328  "
51,멕시코,"4,219 ",273  
52,에콰도르,"7,466 ",333  
53,도미니카공화국,"2,967 ",173  
54,아르헨티나,"1,975 ",82  
55,칠레,"7,213 ",80  
56,콜롬비아,"2,709 ",100  
57,페루,"6,848 ",181  
58,코스타리카,577 ,3  
59,파라과이,134 ,6  
60,파나마,"3,234 ",79  
61,볼리비아,300 ,24 
62,자메이카,69 ,4 
63,온두라스,393 ,25 
64,세인트빈센트그레나딘,12 ,0 
65,쿠바,669 ,18 
66,가이아나,37 ,6 
67,베네수엘라,171 ,9 
68,앤티가바부다,21 ,2 
69,트리니다드토바고,112 ,8 
70,우루과이,501 ,7 
71,세인트루시아,15 ,0 
72,수리남,10 ,0 
73,과테말라,153 ,3 
74,바하마,42 ,8 
75,엘살바도르,125,6
76,바베이도스,68 ,4 
77,니카라과,9,1
78,아이티,31 ,2 
79,그레나다,14,0
80,벨리즈,13 ,2 
81,도미니카연방,16 ,0 
82,세인트키츠네비스,12 ,0 
83,이탈리아,"159,516 ","20,465 "
84,독일,"129,207 ","3,118  "
85,프랑스,"98,076 ","14,967  "
86,영국,"88,621 ","11,329  "
87,스페인,"169,496 ","17,489  "
88,오스트리아,"13,999 ",368  
89,크로아티아,"1,600 ",23  
90,핀란드,"2,974 ",56  
91,스웨덴,"10,948 ",919  
92,스위스,"25,580 ",885  
93,벨기에,"30,589 ","3,903  "
94,덴마크,"6,174 ",273  
95,에스토니아,"1,309 ",25  
96,조지아,266 ,3  
97,그리스,"2,114 ",98  
98,북마케도니아,828 ,34  
99,노르웨이,"6,415 ",103  
100,루마니아,"6,300 ",306  
101,네덜란드,"26,551 ","2,823  "
102,벨라루스,"2,578 ",26  
103,리투아니아,"1,062 ",24  
104,산마리노,356 ,35  
105,아제르바이잔,"1,098 ",40  
106,아이슬란드,"1,701 ",8  
107,모나코,54 ,0  
108,룩셈부르크,"3,281 ",66  
109,아르메니아,"1,039 ",14  
110,아일랜드,"10,647 ",365  
111,체코,"5,991 ",138  
112,포르투갈,"16,934 ",535  
113,라트비아,651 ,5  
114,안도라,639 ,29  
115,폴란드,"6,674 ",232  
116,우크라이나,"3,102 ",93  
117,헝가리,"1,458 ",109  
118,보스니아 헤르체고비나,"1,007 ",38  
119,슬로베니아,"1,205 ",53  
120,리히텐슈타인,80 ,1  
121,세르비아,"3,630 ",80  
122,슬로바키아,742 ,2  
123,불가리아,675 ,29  
124,몰타,378 ,3  
125,몰도바,"1,662 ",33  
126,알바니아,446 ,23  
127,사이프러스,633 ,16  
128,터키,"61,049 ","1,296 "
129,몬테네그로,267 ,2 
130,코소보,362,7
131,호주,"6,322 ",61 
132,뉴질랜드,"1,064 ",5  
133,피지,16 ,0 
