,0,1,2
0,지역 및 국가,발생,사망
1,중국,"82,798 ","4,632 "
2,홍콩,"1,033 ",4  
3,대만,426 ,6  
4,마카오,45 ,0  
5,일본,"11,919",287
6,싱가포르,"10,141 ",11  
7,태국,"2,826 ",49  
8,말레이시아,"5,482 ",92  
9,베트남,268 ,0  
10,인도,"19,984 ",640  
11,필리핀,"6,599 ",437  
12,캄보디아,122 ,0  
13,네팔,42 ,0  
14,러시아,"57,999 ",513  
15,스리랑카,310 ,7  
16,아프가니스탄,"1,176 ",40  
17,파키스탄,"9,505 ",197  
18,인도네시아,"7,135 ",616  
19,부탄,6 ,0  
20,몰디브,83 ,0  
21,방글라데시,"3,382 ",110  
22,브루나이,138 ,1  
23,몽골,34 ,0  
24,카자흐스탄,"1,995 ",19 
25,우즈베키스탄,"1,657 ",6 
26,키르기스스탄,612 ,7 
27,동티모르,23 ,0 
28,미얀마,121 ,5 
29,라오스,16 ,0 
30,이란,"85,996 ","5,391 "
31,쿠웨이트,"2,248 ",13  
32,바레인,"2,007 ",7  
33,아랍에미리트,"8,238 ",52  
34,이라크,"1,602 ",83  
35,오만,"1,614 ",8  
36,레바논,682 ,22  
37,이스라엘,"14,498 ",189  
38,이집트,"3,490 ",264  
39,알제리,"2,811 ",392  
40,카타르,"6,533 ",9  
41,요르단,428 ,7  
42,튀니지,901 ,38  
43,사우디아라비아,"12,772 ",114  
44,모로코,"3,377 ",149  
45,시리아,42 ,3 
46,리비아,59,1
47,예멘,1 ,0 
48,미국,"837,947 ","46,497 "
49,캐나다,"38,923 ","1,871  "
50,브라질,"45,757 ","2,906  "
51,멕시코,"8,772 ",712  
52,에콰도르,"10,850 ",537  
53,도미니카공화국,"5,044 ",245  
54,아르헨티나,"3,073 ",145  
55,칠레,"11,296 ",160  
56,콜롬비아,"3,977 ",189  
57,페루,"19,250 ",530  
58,코스타리카,662 ,6  
59,파라과이,208 ,8  
60,파나마,"4,658 ",136  
61,볼리비아,598 ,34 
62,자메이카,223 ,6 
63,온두라스,494 ,46 
64,세인트빈센트그레나딘,12 ,0 
65,쿠바,"1,137 ",38 
66,가이아나,66 ,7 
67,베네수엘라,285 ,10 
68,앤티가바부다,23 ,3 
69,트리니다드토바고,114 ,8 
70,우루과이,535 ,10 
71,세인트루시아,15 ,0 
72,수리남,10 ,1 
73,과테말라,294 ,9 
74,바하마,64 ,9 
75,엘살바도르,225,7
76,바베이도스,75 ,5 
77,니카라과,10,2
78,아이티,57 ,3 
79,그레나다,14,0
80,벨리즈,18 ,2 
81,도미니카연방,16 ,0 
82,세인트키츠네비스,15 ,0 
83,이탈리아,"187,327 ","25,085 "
84,독일,"150,062 ","5,250  "
85,프랑스,"119,151 ","21,340  "
86,영국,"133,495 ","18,100  "
87,스페인,"208,389 ","21,717  "
88,오스트리아,"14,919 ",494  
89,크로아티아,"1,908 ",48  
90,핀란드,"4,014 ",141  
91,스웨덴,"16,004 ","1,937  "
92,스위스,"28,268 ","1,217  "
93,벨기에,"41,889 ","6,262  "
94,덴마크,"7,695 ",370  
95,에스토니아,"1,552 ",43  
96,조지아,411 ,5  
97,그리스,"2,401 ",121  
98,북마케도니아,"1,231 ",55  
99,노르웨이,"7,166 ",163  
100,루마니아,"9,242 ",483  
101,네덜란드,"34,842 ","4,054  "
102,벨라루스,"6,723 ",55  
103,리투아니아,"1,370 ",38  
104,산마리노,476 ,40  
105,아제르바이잔,"1,480 ",20  
106,아이슬란드,"1,778 ",10  
107,모나코,98 ,1  
108,룩셈부르크,"3,618 ",78  
109,아르메니아,"1,377 ",24  
110,아일랜드,"16,671 ",769  
111,체코,"7,041 ",201  
112,포르투갈,"21,982 ",785  
113,라트비아,748 ,9  
114,안도라,723 ,37  
115,폴란드,"10,169 ",426  
116,우크라이나,"6,592 ",174  
117,헝가리,"2,168 ",225  
118,보스니아 헤르체고비나,"1,340 ",50  
119,슬로베니아,"1,340 ",77  
120,리히텐슈타인,82 ,1  
121,세르비아,"6,890 ",130  
122,슬로바키아,"1,199 ",14  
123,불가리아,975 ,45  
124,몰타,443 ,3  
125,몰도바,"2,641 ",73  
126,알바니아,634 ,26  
127,사이프러스,784 ,17  
128,터키,"98,674 ","2,376 "
129,몬테네그로,313 ,5 
130,코소보,604,18
131,호주,"6,647 ",74 
132,뉴질랜드,"1,113 ",14  
133,피지,18 ,0 
134,파푸아뉴기니,7 ,0 
135,나이지리아,541 ,19 
136,세네갈,412 ,5  
137,카메룬,"1,163 ",43  
138,남아프리카공화국,"3,465 ",58  
139,토고,86 ,6  
140,부르키나파소,581 ,38 
141,DR콩고,359 ,25 
142,코트디부아르,916 ,13 
143,수단,140 ,13 
144,에티오피아,114 ,3 
145,가봉,156 ,1 
146,가나,"1,042 ",9 
147,기니,688 ,6 
148,케냐,296 ,14 
149,나미비아,16 ,0 
150,중앙아프리카공화국,14 ,0 
151,콩고,165 ,6 
152,적도기니,79 ,0 
153,에스와티니,24 ,1 
154,모리타니아,7 ,1 
155,르완다,150 ,0 
156,세이쉘,11 ,0 
157,베냉,54 ,1 
158,라이베리아,101 ,8 
159,탄자니아,255 ,10 
160,지부티,974 ,2 
161,감비아,10 ,1 
162,잠비아,70 ,3 
163,모리셔스,328 ,9 
164,차드,34 ,0 
165,니제르,657 ,20 
166,카보베르데,67 ,1 
167,짐바브웨,28 ,3 
168,소말리아,286 ,14 
169,마다가스카르,121 ,0 
170,앙골라,24 ,2 
171,에리트레아,39 ,0 
172,우간다,56 ,0 
173,모잠비크,39,0
174,기니비사우,50 ,0 
175,말리,258 ,14 
176,보츠와나,20 ,1 
177,브룬디,11 ,1 
178,시에라리온,50 ,0 
179,말라위,18 ,2 
180,남수단,4 ,0 
181,상투메프린시페,4 ,0 
182,일본 크루즈,712 ,13 
183,팔레스타인 ,329 ,2  
184,지브롤터,133 ,0  
185,세인트마틴,37 ,2  
186,생바르텔레미,6 ,0  
187,바티칸,9 ,0  
188,마르티니크,163 ,14  
189,프랑스령 기아나,97 ,1  
190,패로제도,185 ,0  
191,건지섬,239 ,10  
192,프랑스령 폴리네시아,57 ,0  
193,저지섬,250 ,14  
194,프랑스령 레위니옹,410 ,0  
195,과들루프,148 ,12  
196,케이맨제도,66 ,1  
197,퀴라소,14 ,1  
198,마요트,311 ,4  
199,푸에르토리코,"1,298 ",64 
200,괌,133 ,5 
201,미국령 버진아일랜드,54 ,3 
202,아루바,97 ,2 
203,버뮤다,86 ,5 
204,신트마르틴,68 ,10 
205,몬트세라트,11 ,0 
206,뉴칼레도니아,18 ,0 
207,그린랜드,11 ,0 
208,맨섬,307 ,10 
209,터크스 케이커스 제도,11 ,1 
210,앵귈라,3 ,0 
211,영국령 버진아일랜드,4 ,1 
212,북마리아나제도,14 ,2 
213,카리브 네덜란드,5 ,0 
214,포클랜드제도,11 ,0 
215,생피에르미클롱,1 ,0 
216,합계,"2,563,858","181,793"
