,0,1,2
0,지역 및 국가,발생,사망
1,중국,"82,758 ","4,632 "
2,홍콩,"1,025 ",4  
3,대만,422 ,6  
4,마카오,45 ,0  
5,일본,"11,118 ",186 
6,싱가포르,"8,014 ",11  
7,태국,"2,792 ",47  
8,말레이시아,"5,389 ",89  
9,베트남,268 ,0  
10,인도,"17,265 ",543  
11,필리핀,"6,259 ",409  
12,캄보디아,122 ,0  
13,네팔,31 ,0  
14,러시아,"47,121 ",405  
15,스리랑카,254 ,7  
16,아프가니스탄,996 ,33  
17,파키스탄,"8,418 ",176  
18,인도네시아,"6,575 ",582  
19,부탄,5 ,0  
20,몰디브,51 ,0  
21,방글라데시,"2,456 ",91  
22,브루나이,138 ,1  
23,몽골,32 ,0  
24,카자흐스탄,"1,546 ",17 
25,우즈베키스탄,"1,565 ",5 
26,키르기스스탄,568 ,7 
27,동티모르,19 ,0 
28,미얀마,111 ,5 
29,라오스,16 ,0 
30,이란,"83,505 ","5,209 "
31,쿠웨이트,"1,995 ",9  
32,바레인,"1,895 ",7  
33,아랍에미리트,"7,265 ",43  
34,이라크,"1,574 ",82  
35,오만,"1,410 ",7  
36,레바논,677 ,21  
37,이스라엘,"13,713 ",177  
38,이집트,"3,144 ",239  
39,알제리,"2,629 ",375  
40,카타르,"6,015 ",9  
41,요르단,417 ,7  
42,튀니지,879 ,38  
43,사우디아라비아,"10,484 ",103  
44,모로코,"2,990 ",143  
45,시리아,39 ,3 
46,리비아,51,1
47,예멘,1 ,0 
48,미국,"783,290 ","41,816 "
49,캐나다,"35,383 ","1,611  "
50,브라질,"40,581 ","2,575  "
51,멕시코,"7,497 ",650  
52,에콰도르,"9,468 ",474  
53,도미니카공화국,"4,680 ",226  
54,아르헨티나,"2,839 ",132  
55,칠레,"10,507 ",139  
56,콜롬비아,"3,621 ",166  
57,페루,"16,325 ",445  
58,코스타리카,655 ,4  
59,파라과이,206 ,8  
60,파나마,"4,273 ",120  
61,볼리비아,520 ,32 
62,자메이카,173 ,5 
63,온두라스,472 ,46 
64,세인트빈센트그레나딘,12 ,0 
65,쿠바,"1,035 ",34 
66,가이아나,63 ,7 
67,베네수엘라,228 ,9 
68,앤티가바부다,23 ,3 
69,트리니다드토바고,114 ,8 
70,우루과이,517 ,9 
71,세인트루시아,15 ,0 
72,수리남,10 ,1 
73,과테말라,257 ,7 
74,바하마,58 ,9 
75,엘살바도르,201,7
76,바베이도스,75 ,5 
77,니카라과,9,1
78,아이티,44 ,3 
79,그레나다,14,0
80,벨리즈,18 ,2 
81,도미니카연방,16 ,0 
82,세인트키츠네비스,14 ,0 
83,이탈리아,"181,228 ","24,114 "
84,독일,"146,653 ","4,706  "
85,프랑스,"114,657 ","20,265  "
86,영국,"124,743 ","16,509  "
87,스페인,"200,210 ","20,852  "
88,오스트리아,"14,780 ",452  
89,크로아티아,"1,871 ",47  
90,핀란드,"3,783 ",94  
91,스웨덴,"14,777 ","1,580  "
92,스위스,"27,944 ","1,142  "
93,벨기에,"39,983 ","5,828  "
94,덴마크,"7,384 ",355  
95,에스토니아,"1,528 ",40  
96,조지아,399 ,4  
97,그리스,"2,235 ",110  
98,북마케도니아,"1,207 ",51  
99,노르웨이,"7,068 ",154  
100,루마니아,"8,746 ",434  
101,네덜란드,"33,405 ","3,751  "
102,벨라루스,"4,779 ",47  
103,리투아니아,"1,326 ",36  
104,산마리노,461 ,39  
105,아제르바이잔,"1,398 ",19  
106,아이슬란드,"1,771 ",9  
107,모나코,98 ,1  
108,룩셈부르크,"3,550 ",73  
109,아르메니아,"1,286 ",20  
110,아일랜드,"15,652 ",687  
111,체코,"6,787 ",188  
112,포르투갈,"20,863 ",735  
113,라트비아,727 ,5  
114,안도라,717 ,36  
115,폴란드,"9,287 ",360  
116,우크라이나,"5,710 ",151  
117,헝가리,"1,984 ",199  
118,보스니아 헤르체고비나,"1,286 ",46  
119,슬로베니아,"1,330 ",74  
120,리히텐슈타인,82 ,1  
121,세르비아,"6,318 ",122  
122,슬로바키아,"1,161 ",12  
