,0,1,2
0,지역 및 국가,발생,사망
1,중국,"82,788 ","4,632 "
2,홍콩,"1,029 ",4  
3,대만,425 ,6  
4,마카오,45 ,0  
5,일본,"11,496 ",277  
6,싱가포르,"9,125 ",11  
7,태국,"2,811 ",48  
8,말레이시아,"5,424 ",89  
9,베트남,268 ,0  
10,인도,"18,985 ",603  
11,필리핀,"6,459 ",428  
12,캄보디아,122 ,0  
13,네팔,31 ,0  
14,러시아,"52,763 ",456  
15,스리랑카,304 ,7  
16,아프가니스탄,"1,092 ",36  
17,파키스탄,"9,505 ",197  
18,인도네시아,"6,760 ",590  
19,부탄,6 ,0  
20,몰디브,67 ,0  
21,방글라데시,"2,948 ",101  
22,브루나이,138 ,1  
23,몽골,33 ,0  
24,카자흐스탄,"1,852 ",19 
25,우즈베키스탄,"1,657 ",5 
26,키르기스스탄,590 ,7 
27,동티모르,23 ,0 
28,미얀마,119 ,5 
29,라오스,16 ,0 
30,이란,"84,802 ","5,297 "
31,쿠웨이트,"2,080 ",11  
32,바레인,"1,952 ",7  
33,아랍에미리트,"7,755 ",46  
34,이라크,"1,602 ",83  
35,오만,"1,508 ",8  
36,레바논,677 ,21  
37,이스라엘,"13,942 ",184  
38,이집트,"3,333 ",250  
39,알제리,"2,718 ",384  
40,카타르,"6,533 ",9  
41,요르단,425 ,7  
42,튀니지,884 ,38  
43,사우디아라비아,"11,631 ",109  
44,모로코,"3,186 ",144  
45,시리아,39 ,3 
46,리비아,51,1
47,예멘,1 ,0 
48,미국,"823,257 ","44,805 "
49,캐나다,"38,413 ","1,834  "
50,브라질,"43,079 ","2,741  "
51,멕시코,"8,261 ",686  
52,에콰도르,"10,398 ",520  
53,도미니카공화국,"4,964 ",235  
54,아르헨티나,"2,960 ",136  
55,칠레,"10,832 ",147  
56,콜롬비아,"3,792 ",179  
57,페루,"17,837 ",484  
58,코스타리카,660 ,5  
59,파라과이,208 ,8  
60,파나마,"4,467 ",126  
61,볼리비아,564 ,33 
62,자메이카,196 ,5 
63,온두라스,477 ,46 
64,세인트빈센트그레나딘,12 ,0 
65,쿠바,"1,087 ",36 
66,가이아나,65 ,7 
67,베네수엘라,256 ,9 
68,앤티가바부다,23 ,3 
69,트리니다드토바고,114 ,8 
70,우루과이,528 ,10 
71,세인트루시아,15 ,0 
72,수리남,10 ,1 
73,과테말라,289 ,7 
74,바하마,60 ,9 
75,엘살바도르,218,7
76,바베이도스,75 ,5 
77,니카라과,9,2
78,아이티,47 ,3 
79,그레나다,14,0
80,벨리즈,18 ,2 
81,도미니카연방,16 ,0 
82,세인트키츠네비스,15 ,0 
83,이탈리아,"183,957 ","24,648 "
84,독일,"148,291 ","5,033  "
85,프랑스,"117,324 ","20,796  "
86,영국,"129,044 ","17,337  "
87,스페인,"204,178 ","21,282  "
88,오스트리아,"14,810 ",491  
89,크로아티아,"1,881 ",47  
90,핀란드,"3,868 ",98  
91,스웨덴,"15,322 ","1,765  "
92,스위스,"28,063 ","1,187  "
93,벨기에,"40,956 ","5,998  "
94,덴마크,"7,515 ",364  
95,에스토니아,"1,535 ",40  
96,조지아,408 ,4  
97,그리스,"2,245 ",116  
98,북마케도니아,"1,225 ",54  
99,노르웨이,"7,113 ",154  
100,루마니아,"8,936 ",451  
101,네덜란드,"34,134 ","3,916  "
102,벨라루스,"6,264 ",51  
103,리투아니아,"1,350 ",37  
104,산마리노,462 ,39  
105,아제르바이잔,"1,436 ",19  
106,아이슬란드,"1,773 ",10  
107,모나코,98 ,1  
108,룩셈부르크,"3,558 ",75  
109,아르메니아,"1,339 ",22  
110,아일랜드,"16,040 ",730  
111,체코,"6,914 ",196  
112,포르투갈,"21,379 ",762  
113,라트비아,739 ,5  
114,안도라,718 ,36  
115,폴란드,"9,593 ",380  
116,우크라이나,"6,125 ",161  
117,헝가리,"2,098 ",213  
118,보스니아 헤르체고비나,"1,300 ",49  
119,슬로베니아,"1,335 ",74  
120,리히텐슈타인,82 ,1  
121,세르비아,"6,630 ",125  
122,슬로바키아,"1,173 ",13  
123,불가리아,929 ,43  
124,몰타,431 ,3  
125,몰도바,"2,548 ",70  
126,알바니아,609 ,26  
127,사이프러스,772 ,17  
128,터키,"95,591 ","2,259 "
129,몬테네그로,312 ,5 
130,코소보,572,12
131,호주,"6,625 ",71 
132,뉴질랜드,"1,107 ",13  
133,피지,18 ,0 
134,파푸아뉴기니,7 ,0 
135,나이지리아,541 ,19 
136,세네갈,377 ,5  
137,카메룬,"1,163 ",42  
138,남아프리카공화국,"3,300 ",58  
139,토고,84 ,5  
140,부르키나파소,576 ,36 
141,DR콩고,350 ,25 
142,코트디부아르,879 ,10 
143,수단,107 ,12 
144,에티오피아,111 ,3 
145,가봉,120 ,1 
146,가나,"1,042 ",9 
147,기니,622 ,5 
148,케냐,281 ,14 
149,나미비아,16 ,0 
150,중앙아프리카공화국,12 ,0 
151,콩고,160 ,6 
152,적도기니,79 ,0 
153,에스와티니,24 ,1 
154,모리타니아,7 ,1 
155,르완다,147 ,0 
156,세이쉘,11 ,0 
157,베냉,54 ,1 
158,라이베리아,99 ,8 
159,탄자니아,255 ,10 
160,지부티,945 ,2 
161,감비아,10 ,1 
162,잠비아,65 ,3 
163,모리셔스,328 ,9 
164,차드,33 ,0 
165,니제르,655 ,20 
166,카보베르데,55 ,1 
167,짐바브웨,25 ,3 
168,소말리아,237 ,8 
169,마다가스카르,121 ,0 
170,앙골라,24 ,2 
171,에리트레아,39 ,0 
172,우간다,55 ,0 
173,모잠비크,35,0
174,기니비사우,50 ,0 
175,말리,246 ,14 
176,보츠와나,20 ,1 
177,브룬디,6 ,1 
178,시에라리온,43 ,0 
179,말라위,17 ,2 
180,남수단,4 ,0 
181,상투메프린시페,4 ,0 
182,일본 크루즈,712 ,13 
183,팔레스타인 ,329 ,2  
184,지브롤터,133 ,0  
185,세인트마틴,37 ,2  
186,생바르텔레미,6 ,0  
187,바티칸,9 ,0  
188,마르티니크,163 ,14  
189,프랑스령 기아나,97 ,1  
190,패로제도,185 ,0  
191,건지섬,239 ,9  
192,프랑스령 폴리네시아,56 ,0  
193,저지섬,249 ,12  
194,프랑스령 레위니옹,408 ,0  
195,과들루프,148 ,11  
196,케이맨제도,61 ,1  
197,퀴라소,14 ,1  
198,마요트,284 ,4  
199,푸에르토리코,"1,252 ",63 
200,괌,133 ,5 
201,미국령 버진아일랜드,53 ,3 
202,아루바,97 ,2 
203,버뮤다,86 ,5 
204,신트마르틴,67 ,10 
205,몬트세라트,11 ,0 
206,뉴칼레도니아,18 ,0 
207,그린랜드,11 ,0 
208,맨섬,297 ,4 
209,터크스 케이커스 제도,11 ,1 
210,앵귈라,3 ,0 
211,영국령 버진아일랜드,4 ,1 
212,북마리아나제도,14 ,2 
213,카리브 네덜란드,5 ,0 
214,포클랜드제도,11 ,0 
215,생피에르미클롱,1 ,0 
216,합계,"2,502,606","176,026"
