,0,1,2
0,지역 및 국가,발생,사망
1,중국,"81,470 ","3,304 "
2,홍콩,641 ,4  
3,대만,298 ,2  
4,마카오,38 ,0  
5,일본,"1,866 ",54  
6,싱가포르,844 ,2 
7,태국,"1,388 ",7  
8,말레이시아,"2,320 ",27  
9,베트남,179 ,0  
10,인도,979 ,25  
11,필리핀,"1,075 ",68  
12,캄보디아,102 ,0  
13,네팔,5 ,0  
14,러시아,"1,534 ",8  
15,스리랑카,106 ,0  
16,아프가니스탄,114 ,4  
17,파키스탄,"1,526 ",13  
18,인도네시아,"1,155 ",102  
19,부탄,3 ,0  
20,몰디브,16 ,0  
21,방글라데시,48 ,5  
22,브루나이,120 ,1  
23,몽골,12 ,0  
24,카자흐스탄,265 ,1 
25,우즈베키스탄,133 ,2 
26,키르기스스탄,84 ,0 
27,동티모르,1 ,0 
28,미얀마,8 ,0 
29,라오스,6 ,0 
30,이란,"38,309 ","2,640 "
31,쿠웨이트,255 ,0  
32,바레인,499 ,4  
33,아랍에미리트,468 ,2  
34,이라크,547 ,42  
35,오만,167 ,0  
36,레바논,438 ,10  
37,이스라엘,"3,865 ",81  
38,이집트,576 ,36  
39,알제리,409 ,26  
40,카타르,590 ,0  
41,요르단,246 ,1  
42,튀니지,278 ,6  
43,사우디아라비아,"1,299 ",4  
44,모로코,450 ,26  
45,시리아,9 ,1 
46,리비아,3,0
47,미국,"139,675 ","2,436 "
48,캐나다,"6,258 ",61  
49,브라질,"3,417 ",92  
50,멕시코,717 ,12  
51,에콰도르,"1,823 ",48  
52,도미니카공화국,581 ,20  
53,아르헨티나,690 ,17  
54,칠레,"1,939 ",6  
55,콜롬비아,539 ,6  
56,페루,635 ,11  
57,코스타리카,263 ,2  
58,파라과이,56 ,3  
59,파나마,786 ,14  
60,볼리비아,74 ,0 
61,자메이카,30 ,1 
62,온두라스,67 ,1 
63,세인트빈센트그레나딘,1 ,0 
64,쿠바,119 ,3 
65,가이아나,5 ,1 
66,베네수엘라,113 ,2 
67,앤티가바부다,7 ,0 
68,트리니다드토바고,74 ,2 
69,우루과이,274 ,0 
70,세인트루시아,3 ,0 
71,수리남,8 ,0 
72,과테말라,32 ,1 
73,바하마,10 ,0 
74,엘살바도르,19,0
75,바베이도스,24 ,0 
76,니카라과,4,1
77,아이티,8 ,0 
78,그레나다,7,0
79,벨리즈,2 ,0 
80,도미니카연방,11 ,0 
81,세인트키츠네비스,2 ,0 
82,이탈리아,"97,689 ","10,779 "
83,독일,"62,095 ",525  
84,프랑스,"40,174 ","2,606  "
85,영국,"19,522 ","1,228  "
86,스페인,"78,797 ","6,528  "
87,오스트리아,"8,291 ",68  
88,크로아티아,657 ,5  
89,핀란드,"1,218 ",9  
90,스웨덴,"3,447 ",102  
91,스위스,"14,336 ",257  
92,벨기에,"9,134 ",353  
93,덴마크,"2,201 ",65  
94,에스토니아,640 ,1  
95,조지아,90 ,0  
96,그리스,"1,061 ",32  
97,북마케도니아,241 ,4  
98,노르웨이,"3,845 ",20  
99,루마니아,"1,452 ",29  
100,네덜란드,"10,866 ",771  
101,벨라루스,94 ,0  
102,리투아니아,394 ,7  
103,산마리노,228 ,21  
104,아제르바이잔,164 ,4  
105,아이슬란드,963 ,2  
106,모나코,19 ,0  
107,룩셈부르크,"1,831 ",18  
108,아르메니아,424 ,3  
109,아일랜드,"2,415 ",36  
110,체코,"2,663 ",11  
111,포르투갈,"5,170 ",100  
112,라트비아,305 ,0  
113,안도라,321 ,4  
114,폴란드,"1,638 ",18  
115,우크라이나,418 ,9  
116,헝가리,408 ,13  
117,보스니아 헤르체고비나,269 ,6  
118,슬로베니아,691 ,9  
119,리히텐슈타인,61 ,0  
120,세르비아,659 ,10  
121,슬로바키아,295 ,0  
122,불가리아,331 ,7  
123,몰타,139 ,0  
124,몰도바,231 ,2  
125,알바니아,212 ,10  
126,사이프러스,179 ,5  
127,터키,"7,402 ",108 
128,몬테네그로,82 ,1 
129,코소보,91,1
130,호주,"3,966 ",16 
131,뉴질랜드,476 ,1  
132,피지,5 ,0 
133,파푸아뉴기니,1 ,0 
134,나이지리아,65 ,1 
135,세네갈,119  ,0  
136,카메룬,91  ,2  
137,남아프리카공화국,"1,187  ",2  
138,토고,29  ,0  
139,부르키나파소,146 ,3 
140,DR콩고,68 ,6 
141,코트디부아르,140 ,0 
142,수단,5 ,1 
143,에티오피아,16 ,0 
144,가봉,7 ,1 
145,가나,137 ,4 
146,기니,8 ,0 
147,케냐,25 ,1 
148,나미비아,8 ,0 
149,중앙아프리카공화국,6 ,0 
150,콩고,19 ,0 
151,적도기니,6 ,0 
152,에스와티니,9 ,0 
153,모리타니아,5 ,0 
154,르완다,60 ,0 
155,세이쉘,7 ,0 
156,베냉,6 ,0 
157,라이베리아,3 ,0 
158,탄자니아,14 ,0 
159,지부티,19 ,0 
160,감비아,3 ,1 
161,잠비아,16 ,0 
162,모리셔스,102 ,2 
163,차드,5 ,0 
164,니제르,10 ,1 
165,카보베르데,5 ,1 
166,짐바브웨,5 ,1 
167,소말리아,3 ,0 
168,마다가스카르,26 ,0 
169,앙골라,2 ,0 
170,에리트레아,6 ,0 
171,우간다,14 ,0 
172,모잠비크,8,0
173,기니비사우,2 ,0 
174,말리,9 ,0 
175,일본 크루즈,712 ,7 
176,팔레스타인 ,106 ,1  
177,지브롤터,56 ,0  
178,세인트마틴,12 ,0  
179,생바르텔레미,5 ,0  
180,바티칸,4 ,0  
181,마르티니크,93 ,1  
182,프랑스령 기아나,31 ,0  
183,패로제도,155 ,0  
184,건지섬,39 ,0  
185,프랑스령 폴리네시아,34 ,0  
186,저지섬,61 ,1  
187,프랑스령 레위니옹,143 ,0  
188,과들루프,96 ,2  
189,케이맨제도,8 ,1  
190,퀴라소,7 ,1  
191,마요트,50 ,0  
192,푸에르토리코,64 ,2 
193,괌,56 ,1 
194,미국령 버진아일랜드,17 ,0 
195,아루바,46 ,0 
196,버뮤다,17 ,0 
197,신트마르틴,3 ,0 
198,몬트세라트,5 ,0 
199,뉴칼레도니아,15 ,0 
200,그린랜드,10 ,0 
201,맨섬,32 ,0 
202,터크스 케이커스 제도,2 ,0 
203,앵귈라,2 ,0 
204,영국령 버진아일랜드,2 ,0 
205,북마리아나제도,2 ,0 
206,합계,"695,624","33,096"
