,0,1,2
0,지역 및 국가,발생,사망
1,중국,"82,947 ","4,634 "
2,홍콩,"1,052 ",4  
3,대만,440 ,7  
4,마카오,45 ,0  
5,일본,"16,285 ",744  
6,싱가포르,"27,356 ",22 
7,태국,"3,025 ",56  
8,말레이시아,"6,855 ",112  
9,베트남,313 ,0  
10,인도,"85,940 ","2,752  "
11,필리핀,"12,091 ",806  
12,캄보디아,122 ,0  
13,네팔,276 ,0  
14,러시아,"272,043 ","2,537  "
15,스리랑카,935 ,9  
16,아프가니스탄,"6,402 ",168  
17,파키스탄,"38,799 ",834  
18,인도네시아,"16,496 ","1,076  "
19,부탄,21 ,0  
20,몰디브,"1,031 ",4  
21,방글라데시,"20,065 ",298  
22,브루나이,141 ,1  
23,몽골,98 ,0  
24,카자흐스탄,"5,850 ",34 
25,우즈베키스탄,"2,691 ",11 
26,키르기스스탄,"1,117 ",14 
27,동티모르,24 ,0 
28,미얀마,182 ,6 
29,라오스,19 ,0 
30,타지키스탄,"1,118 ",36 
31,이란,"118,392 ","6,937 "
32,쿠웨이트,"13,802 ",107  
33,바레인,"6,655 ",12  
34,아랍에미리트,"21,831 ",210  
35,이라크,"3,260 ",121  
36,오만,"5,029 ",21  
37,레바논,902 ,26  
38,이스라엘,"16,606 ",267  
39,이집트,"11,228 ",592  
40,알제리,"6,630 ",536  
41,카타르,"30,972 ",15  
42,요르단,607 ,9  
43,튀니지,"1,035 ",45  
44,사우디아라비아,"52,016 ",302  
45,모로코,"6,681 ",192  
46,시리아,50 ,3 
47,리비아,64,3
48,예멘,124 ,19 
49,미국,"1,465,066 ","88,675 "
50,캐나다,"75,853 ","5,679  "
51,멕시코,"45,032 ","4,767 "
52,파나마,"9,118 ",260  
53,온두라스,"2,318 ",133 
54,과테말라,"1,518 ",29 
55,코스타리카,830 ,8  
56,엘살바도르,1210,23
57,벨리즈,18 ,2 
58,니카라과,25,8
59,도미니카공화국,"11,739 ",424 
60,쿠바,"1,840 ",79 
61,자메이카,509 ,9 
62,트리니다드토바고,116 ,8 
63,아이티,273 ,20 
64,바하마,96 ,11 
65,바베이도스,85 ,7 
66,앤티가바부다,25 ,3 
67,그레나다,22,0
68,세인트루시아,18 ,0 
69,세인트빈센트그레나딘,17 ,0 
70,도미니카연방,16 ,0 
71,세인트키츠네비스,15 ,0 
72,브라질,"233,142 ","15,633 "
73,페루,"88,541 ","2,523  "
74,에콰도르,"30,502 ","2,338  "
75,칠레,"41,428 ",421  
76,콜롬비아 ,"13,610 ",525  
77,아르헨티나,"7,134 ",353  
78,볼리비아,"3,372 ",152 
79,우루과이,724 ,19 
80,파라과이,759 ,11  
81,베네수엘라,455 ,10 
82,가이아나,113 ,10 
83,수리남,10 ,1 
84,이탈리아,"224,760 ","31,763 "
85,독일,"175,752 ","7,938  "
86,프랑스,"142,291 ","27,625  "
87,영국,"240,161 ","34,466  "
88,스페인,"230,698 ","27,563  "
89,오스트리아,"16,150 ",628  
90,크로아티아,"2,222 ",95  
91,핀란드,"6,228 ",293  
92,스웨덴,"29,677 ","3,674  "
93,스위스,"30,572 ","1,602  "
94,벨기에,"54,989 ","9,005  "
95,덴마크,"10,791 ",537  
96,에스토니아,"1,766 ",63  
97,조지아,677 ,12  
98,그리스,"2,810 ",160  
99,북마케도니아,"1,740 ",97  
100,노르웨이,"8,197 ",232  
101,루마니아,"16,704 ","1,081  "
102,네덜란드,"43,870 ","5,670  "
103,벨라루스,"27,730 ",156  
104,리투아니아,"1,523 ",54  
105,산마리노,652 ,41  
106,아제르바이잔,"2,980 ",36  
107,아이슬란드,"1,802 ",10  
108,모나코,96 ,1  
109,룩셈부르크,"3,923 ",104  
110,아르메니아,"4,283 ",55  
111,아일랜드,"24,048 ","1,533  "
112,체코,"8,406 ",295  
113,포르투갈,"28,810 ","1,203  "
114,라트비아,970 ,19  
115,안도라,761 ,49  
116,폴란드,"18,257 ",915  
117,우크라이나,"17,858 ",497  
118,헝가리,"3,473 ",448  
119,보스니아 헤르체고비나,"2,237 ",127  
120,슬로베니아,"1,465 ",103  
121,리히텐슈타인,83 ,1  
122,세르비아,"10,438 ",225  
123,슬로바키아,"1,480 ",27  
124,불가리아,"2,138 ",102  
125,몰타,532 ,6  
126,몰도바,"5,745 ",204  
127,알바니아,933 ,31  
128,사이프러스,910 ,17  
129,터키,"148,067 ","4,096 "
130,몬테네그로,324 ,9 
131,코소보,944,29
132,호주,"7,019 ",98 
133,뉴질랜드,"1,148 ",21  
134,피지,18 ,0 
135,파푸아뉴기니,8 ,0 
136,나이지리아,"5,450 ",171 
137,세네갈,"2,310 ",23  
138,카메룬,"3,047 ",139  
139,남아프리카공화국,"13,524 ",247  
140,토고,263 ,11  
141,부르키나파소,780 ,51 
142,DR콩고,"1,369 ",60 
143,코트디부아르,"2,017 ",24 
144,수단,"1,964 ",91 
145,에티오피아,287 ,5 
146,가봉,"1,209 ",10 
147,가나,"5,638 ",28 
148,기니,"2,531 ",15 
149,케냐,781 ,46 
150,나미비아,16 ,0 
151,중앙아프리카공화국,301 ,0 
152,콩고,391 ,15 
153,적도기니,594 ,7 
154,에스와티니,190 ,2 
155,모리타니아,29 ,3 
156,르완다,287 ,0 
157,세이쉘,11 ,0 
158,베냉,339 ,2 
159,라이베리아,219 ,20 
160,탄자니아,509 ,21 
161,지부티,"1,331 ",4 
162,감비아,23 ,1 
163,잠비아,668 ,7 
164,모리셔스,332 ,10 
165,차드,428 ,48 
166,니제르,885 ,51 
167,카보베르데,326 ,2 
168,짐바브웨,42 ,4 
169,소말리아,"1,357 ",55 
170,마다가스카르,238 ,0 
171,앙골라,48 ,2 
172,에리트레아,39 ,0 
173,우간다,203 ,0 
174,모잠비크,119,0
175,기니비사우,913 ,3 
176,말리,806 ,46 
177,보츠와나,24 ,1 
178,브룬디,27 ,1 
179,시에라리온,447 ,27 
180,말라위,63 ,3 
181,남수단,231 ,1 
182,상투메프린시페,166 ,7 
183,코모로,11 ,1 
184,리소토,1 ,1 
185,일본크루즈 포함 34개 영토,"8,097",293
186,합계,"4,565,209","310,298"
