,0,1,2
0,지역 및 국가,발생,사망
1,중국,"82,886 ","4,633 "
2,홍콩,"1,044 ",4  
3,대만,440 ,6  
4,마카오,45 ,0  
5,일본,"15,547 ",557  
6,싱가포르,"20,939 ",20  
7,태국,"2,992 ",55  
8,말레이시아,"6,428 ",107  
9,베트남,271 ,0  
10,인도,"52,952 ","1,783  "
11,필리핀,"10,004 ",658  
12,캄보디아,122 ,0  
13,네팔,99 ,0  
14,러시아,"177,160 ","1,625  "
15,스리랑카,797 ,9  
16,아프가니스탄,"3,563 ",105  
17,파키스탄,"24,644 ",585  
18,인도네시아,"12,438 ",895  
19,부탄,7 ,0  
20,몰디브,618 ,2  
21,방글라데시,"11,719 ",186  
22,브루나이,139 ,1  
23,몽골,41 ,0  
24,카자흐스탄,"4,509 ",30 
25,우즈베키스탄,"2,266 ",10 
26,키르기스스탄,895 ,12 
27,동티모르,24 ,0 
28,미얀마,162 ,6 
29,라오스,16 ,0 
30,타지키스탄,293 ,7 
31,이란,"103,135 ","6,486 "
32,쿠웨이트,"6,567 ",44  
33,바레인,"4,131 ",8  
34,아랍에미리트,"16,240 ",165  
35,이라크,"2,480 ",102  
36,오만,"2,958 ",14  
37,레바논,784 ,25  
38,이스라엘,"16,346 ",239  
39,이집트,"7,588 ",469  
40,알제리,"4,997 ",476  
41,카타르,"18,890 ",12  
42,요르단,484 ,9  
43,튀니지,"1,025 ",43  
44,사우디아라비아,"33,731 ",219  
45,모로코,"5,505 ",183  
46,시리아,45 ,3 
47,리비아,64,3
48,예멘,26 ,6 
49,미국,"1,254,740 ","75,543 "
50,캐나다,"63,895 ","4,280  "
51,브라질,"135,106 ","9,146  "
52,멕시코,"27,634 ","2,704  "
53,에콰도르*,"29,420 ","1,618  "
54,도미니카공화국,"8,807 ",362  
55,아르헨티나,"5,076 ",264  
56,칠레,"23,048 ",281  
57,콜롬비아,"8,613 ",378  
58,페루,"58,526 ","1,627  "
59,코스타리카,755 ,6  
60,파라과이,440 ,10  
61,파나마,"7,523 ",210  
62,볼리비아,"1,802 ",86 
63,자메이카,473 ,9 
64,온두라스,"1,270 ",93 
65,세인트빈센트그레나딘,17 ,0 
66,쿠바,"1,703 ",69 
67,가이아나,93 ,10 
68,베네수엘라,367 ,10 
69,앤티가바부다,25 ,3 
70,트리니다드토바고,116 ,8 
71,우루과이,670 ,17 
72,세인트루시아,18 ,0 
73,수리남,10 ,1 
74,과테말라,763 ,19 
75,바하마,89 ,11 
76,엘살바도르,644,14
77,바베이도스,82 ,7 
78,니카라과,16,5
79,아이티,101 ,12 
80,그레나다,21,0
81,벨리즈,18 ,2 
82,도미니카연방,16 ,0 
83,세인트키츠네비스,15 ,0 
84,이탈리아,"215,858 ","29,958 "
85,독일,"169,430 ","7,392  "
86,프랑스,"137,779 ","25,987  "
87,영국,"206,715 ","30,615  "
88,스페인,"221,447 ","26,070  "
89,오스트리아,"15,665 ",609  
90,크로아티아,"2,119 ",85  
91,핀란드,"5,573 ",252  
92,스웨덴,"24,623 ","3,040  "
