,0,1,2
0,지역 및 국가,발생,사망
1,중국,"81,518 ","3,305 "
2,홍콩,682 ,4  
3,대만,306 ,5  
4,마카오,39 ,0  
5,일본,"1,953 ",56  
6,싱가포르,879 ,3  
7,태국,"1,524 ",9  
8,말레이시아,"2,470 ",34  
9,베트남,188 ,0  
10,인도,"1,071 ",29  
11,필리핀,"1,418 ",71  
12,캄보디아,103 ,0  
13,네팔,5 ,0  
14,러시아,"1,534 ",10  
15,스리랑카,120 ,1  
16,아프가니스탄,114 ,4  
17,파키스탄,"1,625 ",18  
18,인도네시아,"1,285 ",114  
19,부탄,4 ,0  
20,몰디브,17 ,0  
21,방글라데시,49 ,5  
22,브루나이,126 ,1  
23,몽골,12 ,0  
24,카자흐스탄,294 ,1 
25,우즈베키스탄,145 ,2 
26,키르기스스탄,84 ,0 
27,동티모르,1 ,0 
28,미얀마,8 ,0 
29,라오스,8 ,0 
30,이란,"41,495 ","2,757 "
31,쿠웨이트,266 ,0  
32,바레인,515 ,4  
33,아랍에미리트,611 ,5  
34,이라크,547 ,42  
35,오만,179 ,0  
36,레바논,446 ,11  
37,이스라엘,"4,247 ",15  
38,이집트,609 ,40  
39,알제리,454 ,29  
40,카타르,634 ,1  
41,요르단,259 ,4  
42,튀니지,312 ,8  
43,사우디아라비아,"1,453 ",8  
44,모로코,516 ,29  
45,시리아,9 ,1 
46,리비아,8,0
47,미국,"161,807 ","2,978 "
48,캐나다,"7,424 ",89  
49,브라질,"3,904 ",114  
50,멕시코,848 ,16  
51,에콰도르,"1,835 ",48  
52,도미니카공화국,581 ,20  
53,아르헨티나,745 ,19  
54,칠레,"1,909 ",6  
55,콜롬비아,608 ,6  
56,페루,671 ,11  
57,코스타리카,295 ,2  
58,파라과이,59 ,3  
59,파나마,901 ,17  
60,볼리비아,74 ,0 
61,자메이카,32 ,1 
62,온두라스,110 ,2 
63,세인트빈센트그레나딘,1 ,0 
64,쿠바,119 ,3 
65,가이아나,5 ,1 
66,베네수엘라,113 ,2 
67,앤티가바부다,7 ,0 
68,트리니다드토바고,76 ,3 
69,우루과이,303 ,0 
70,세인트루시아,4 ,0 
71,수리남,8 ,0 
72,과테말라,34 ,1 
73,바하마,10 ,0 
74,엘살바도르,24,0
75,바베이도스,26 ,0 
76,니카라과,4,1
77,아이티,15 ,0 
78,그레나다,7,0
79,벨리즈,2 ,0 
80,도미니카연방,11 ,0 
81,세인트키츠네비스,4 ,0 
82,이탈리아,"101,739 ","11,591 "
83,독일,"66,885 ",645  
84,프랑스,"44,550 ","3,024  "
85,영국,"22,141 ","1,408  "
86,스페인,"85,159 ","7,340  "
87,오스트리아,"8,813 ",86  
88,크로아티아,713 ,6  
89,핀란드,"1,218 ",11  
90,스웨덴,"3,700 ",110  
91,스위스,"15,475 ",295  
92,벨기에,"11,899 ",513  
93,덴마크,"2,395 ",72  
94,에스토니아,679 ,3  
95,조지아,98 ,0  
96,그리스,"1,156 ",38  
97,북마케도니아,259 ,6  
98,노르웨이,"4,102 ",22  
99,루마니아,"1,760 ",40  
100,네덜란드,"11,750 ",864  
101,벨라루스,94 ,0  
102,리투아니아,484 ,7  
103,산마리노,229 ,24  
104,아제르바이잔,190 ,4  
105,아이슬란드,"1,020 ",2  
106,모나코,46 ,0  
107,룩셈부르크,"1,950 ",21  
108,아르메니아,482 ,3  
109,아일랜드,"2,615 ",46  
110,체코,"2,829 ",16  
111,포르투갈,"5,962 ",119  
112,라트비아,376 ,0  
113,안도라,341 ,6  
114,폴란드,"1,862 ",22  
115,우크라이나,480 ,11  
116,헝가리,447 ,15  
117,보스니아 헤르체고비나,325 ,6  
118,슬로베니아,730 ,11  
119,리히텐슈타인,62 ,0  
120,세르비아,741 ,13  
121,슬로바키아,336 ,0  
122,불가리아,346 ,8  
123,몰타,151 ,0  
124,몰도바,263 ,2  
125,알바니아,223 ,10  
126,사이프러스,214 ,6  
127,터키,"10,827 ",168 
128,몬테네그로,85 ,1 
129,코소보,94,1
130,호주,"3,966 ",16 
131,뉴질랜드,552 ,1  
132,피지,5 ,0 
133,파푸아뉴기니,1 ,0 
134,나이지리아,65 ,1 
135,세네갈,142 ,0  
136,카메룬,113 ,2  
137,남아프리카공화국,"1,280 ",1  
138,토고,28 ,1  
139,부르키나파소,222 ,3 
140,DR콩고,81 ,8 
141,코트디부아르,165 ,0 
142,수단,6 ,2 
143,에티오피아,21 ,0 
144,가봉,7 ,1 
145,가나,152 ,5 
146,기니,16 ,0 
147,케냐,25 ,1 
148,나미비아,11 ,0 
149,중앙아프리카공화국,6 ,0 
150,콩고,19 ,0 
151,적도기니,13 ,0 
152,에스와티니,9 ,0 
153,모리타니아,5 ,0 
154,르완다,70 ,0 
155,세이쉘,8 ,0 
156,베냉,6 ,0 
157,라이베리아,3 ,0 
158,탄자니아,14 ,0 
159,지부티,26 ,0 
160,감비아,3 ,1 
161,잠비아,16 ,0 
162,모리셔스,102 ,2 
163,차드,5 ,0 
164,니제르,20 ,3 
165,카보베르데,5 ,1 
166,짐바브웨,5 ,1 
167,소말리아,3 ,0 
168,마다가스카르,37 ,0 
169,앙골라,2 ,0 
170,에리트레아,6 ,0 
171,우간다,33 ,0 
172,모잠비크,8,0
173,기니비사우,2 ,0 
174,말리,18 ,0 
175,일본 크루즈,712 ,7 
176,팔레스타인 ,115 ,1  
177,지브롤터,65 ,0  
178,세인트마틴,6 ,0  
179,생바르텔레미,5 ,0  
180,바티칸,6 ,0  
181,마르티니크,105 ,2  
182,프랑스령 기아나,31 ,0  
183,패로제도,159 ,0  
184,건지섬,39 ,0  
185,프랑스령 폴리네시아,35 ,0  
186,저지섬,64 ,2  
187,프랑스령 레위니옹,207 ,0  
188,과들루프,96 ,2  
189,케이맨제도,8 ,1  
190,퀴라소,7 ,1  
191,마요트,82 ,0  
192,푸에르토리코,64 ,2 
193,괌,56 ,1 
194,미국령 버진아일랜드,22 ,0 
195,아루바,46 ,0 
196,버뮤다,22 ,0 
197,신트마르틴,3 ,0 
198,몬트세라트,5 ,0 
199,뉴칼레도니아,15 ,0 
200,그린랜드,10 ,0 
201,맨섬,42 ,0 
202,터크스 케이커스 제도,4 ,0 
203,앵귈라,2 ,0 
204,영국령 버진아일랜드,2 ,0 
205,북마리아나제도,2 ,0 
206,합계,"760,352","36,634"
