,0,1,2
0,지역 및 국가,발생,사망
1,중국,"81,620 ","3,322 "
2,홍콩,802 ,4  
3,대만,339 ,5  
4,마카오,41 ,0  
5,일본,"2,617 ",63  
6,싱가포르,"1,049 ",4  
7,태국,"1,771 ",12  
8,말레이시아,"2,766 ",43  
9,베트남,218 ,0  
10,인도,"1,636 ",38  
11,필리핀,"2,311 ",96  
12,캄보디아,109 ,0  
13,네팔,5 ,0  
14,러시아,"2,777 ",24  
15,스리랑카,143 ,2  
16,아프가니스탄,235 ,4  
17,파키스탄,"2,291 ",31  
18,인도네시아,"1,677 ",157  
19,부탄,4 ,0  
20,몰디브,18 ,0  
21,방글라데시,54 ,6  
22,브루나이,131 ,1  
23,몽골,14 ,0  
24,카자흐스탄,386 ,3 
25,우즈베키스탄,190 ,2 
26,키르기스스탄,115 ,0 
27,동티모르,1 ,0 
28,미얀마,15 ,1 
29,라오스,10 ,0 
30,이란,"50,468 ","3,160 "
31,쿠웨이트,342 ,0  
32,바레인,635 ,4  
33,아랍에미리트,814 ,8  
34,이라크,772 ,54  
35,오만,231 ,1  
36,레바논,494 ,16  
37,이스라엘,"5,591 ",21  
38,이집트,779 ,52  
39,알제리,847 ,58  
40,카타르,835 ,2  
41,요르단,278 ,5  
42,튀니지,455 ,13  
43,사우디아라비아,"1,885 ",21  
44,모로코,676 ,40  
45,시리아,10 ,2 
46,리비아,10,0
47,미국,"242,182 ","5,850 "
48,캐나다,"10,132 ",127  
49,브라질,"5,717 ",201  
50,멕시코,"1,215 ",29  
51,에콰도르,"2,372 ",146  
52,도미니카공화국,"1,284 ",57  
53,아르헨티나,"1,054 ",27  
54,칠레,"3,031 ",16  
55,콜롬비아,906 ,16  
56,페루,"1,323 ",24  
57,코스타리카,347 ,2  
58,파라과이,69 ,3  
59,파나마,"1,181 ",30  
60,볼리비아,115 ,7 
61,자메이카,38 ,1 
62,온두라스,172 ,10 
63,세인트빈센트그레나딘,1 ,0 
64,쿠바,212 ,6 
65,가이아나,19 ,2 
66,베네수엘라,143 ,3 
67,앤티가바부다,7 ,0 
68,트리니다드토바고,89 ,5 
69,우루과이,338 ,2 
70,세인트루시아,13 ,0 
71,수리남,8 ,0 
72,과테말라,39 ,1 
73,바하마,15 ,0 
74,엘살바도르,32,1
75,바베이도스,33 ,0 
76,니카라과,5,1
77,아이티,16 ,0 
78,그레나다,9,0
79,벨리즈,3 ,0 
80,도미니카연방,11 ,0 
81,세인트키츠네비스,8 ,0 
82,이탈리아,"115,242 ","13,915 "
83,독일,"84,788 ","1,107  "
84,프랑스,"59,105 ","4,503  "
85,영국,"33,718 ","2,921  "
86,스페인,"110,238 ","10,003  "
87,오스트리아,"10,967 ",158  
88,크로아티아,963 ,6  
89,핀란드,"1,446 ",17  
90,스웨덴,"4,947 ",239  
91,스위스,"18,267 ",432  
92,벨기에,"15,348 ","1,011  "
93,덴마크,"3,107 ",104  
94,에스토니아,779 ,5  
95,조지아,121 ,0  
96,그리스,"1,375 ",50  
97,북마케도니아,354 ,11  
98,노르웨이,"4,665 ",32  
99,루마니아,"2,460 ",85  
100,네덜란드,"14,697 ","1,339  "
101,벨라루스,192 ,2  
102,리투아니아,581 ,8  
103,산마리노,236 ,28  
104,아제르바이잔,359 ,5  
105,아이슬란드,"1,220 ",2  
106,모나코,37 ,0  
107,룩셈부르크,"2,319 ",29  
108,아르메니아,571 ,3  
109,아일랜드,"3,447 ",85  
110,체코,"3,589 ",39  
111,포르투갈,"8,251 ",187  
112,라트비아,446 ,0  
113,안도라,396 ,13  
114,폴란드,"2,554 ",43  
115,우크라이나,804 ,20  
116,헝가리,525 ,20  
117,보스니아 헤르체고비나,464 ,13  
118,슬로베니아,841 ,15  
119,리히텐슈타인,72 ,0  
120,세르비아,"1,060 ",13  
121,슬로바키아,400 ,0  
122,불가리아,422 ,10  
123,몰타,188 ,0  
124,몰도바,423 ,5  
125,알바니아,277 ,15  
126,사이프러스,320 ,9  
127,터키,"18,135 ",356 
128,몬테네그로,120 ,2 
129,코소보,125,1
130,호주,"4,976 ",21 
131,뉴질랜드,723 ,1  
132,피지,5 ,0 
133,파푸아뉴기니,1 ,0 
134,나이지리아,139 ,2 
135,세네갈,190 ,1  
136,카메룬,139 ,6  
137,남아프리카공화국,"1,380 ",5  
138,토고,36 ,2  
139,부르키나파소,261 ,14 
140,DR콩고,123 ,11 
141,코트디부아르,190 ,0 
142,수단,7 ,2 
143,에티오피아,26 ,0 
144,가봉,7 ,1 
145,가나,195 ,5 
146,기니,30 ,0 
147,케냐,81 ,1 
148,나미비아,11 ,0 
149,중앙아프리카공화국,8 ,0 
150,콩고,22 ,2 
151,적도기니,14 ,0 
152,에스와티니,9 ,0 
153,모리타니아,5 ,0 
154,르완다,82 ,0 
155,세이쉘,10 ,0 
156,베냉,13 ,0 
157,라이베리아,6 ,0 
158,탄자니아,20 ,1 
159,지부티,41 ,0 
160,감비아,3 ,1 
161,잠비아,36 ,0 
162,모리셔스,154 ,5 
163,차드,7 ,0 
164,니제르,74 ,5 
165,카보베르데,5 ,1 
166,짐바브웨,8 ,1 
167,소말리아,5 ,0 
168,마다가스카르,53 ,0 
169,앙골라,8 ,2 
170,에리트레아,15 ,0 
171,우간다,44 ,0 
172,모잠비크,10,0
173,기니비사우,9 ,0 
174,말리,28 ,0 
175,보츠와나,3 ,0 
176,브룬디,2 ,0 
177,시에라리온,2 ,0 
178,일본 크루즈,712 ,7 
179,팔레스타인 ,155 ,1  
180,지브롤터,69 ,0  
181,세인트마틴,21 ,2  
182,생바르텔레미,6 ,0  
183,바티칸,6 ,0  
184,마르티니크,128 ,3  
185,프랑스령 기아나,51 ,0  
186,패로제도,173 ,0  
187,건지섬,78 ,1  
188,프랑스령 폴리네시아,37 ,0  
189,저지섬,81 ,2  
190,프랑스령 레위니옹,281 ,0  
191,과들루프,125 ,6  
192,케이맨제도,14 ,1  
193,퀴라소,11 ,1  
194,마요트,116 ,0  
195,푸에르토리코,286 ,11 
196,괌,77 ,3 
197,미국령 버진아일랜드,30 ,0 
198,아루바,55 ,0 
199,버뮤다,32 ,0 
200,신트마르틴,6 ,0 
201,몬트세라트,5 ,0 
202,뉴칼레도니아,16 ,0 
203,그린랜드,10 ,0 
204,맨섬,65 ,0 
205,터크스 케이커스 제도,5 ,0 
206,앵귈라,2 ,0 
207,영국령 버진아일랜드,3 ,0 
208,북마리아나제도,6 ,0 
209,합계,"983,445","50,831"
