,0,1,2
0,지역 및 국가,발생,사망
1,중국,"81,218 ","3,281 "
2,홍콩,386 ,4  
3,대만,216 ,2  
4,마카오,29 ,0  
5,일본,"1,193 ",43  
6,싱가포르,509 ,2  
7,태국,827 ,4  
8,말레이시아,"1,518 ",14  
9,베트남,123 ,0  
10,인도,434 ,9  
11,필리핀,462 ,33  
12,캄보디아,87 ,0  
13,네팔,2 ,0  
14,러시아,438 ,0  
15,스리랑카,97 ,0  
16,아프가니스탄,42 ,1  
17,파키스탄,887 ,6  
18,인도네시아,579 ,49  
19,부탄,2 ,0  
20,몰디브,13 ,0  
21,방글라데시,33 ,3  
22,브루나이,91 ,0  
23,몽골,10 ,0  
24,카자흐스탄,63 ,0 
25,우즈베키스탄,46 ,0 
26,키르기스스탄,16 ,0 
27,동티모르,1 ,0 
28,미얀마,2 ,0 
29,이란,"24,811 ","1,934 "
30,쿠웨이트,191 ,0  
31,바레인,390 ,3  
32,아랍에미리트,248 ,2  
33,이라크,316 ,27  
34,오만,84 ,0  
35,레바논,304 ,4  
36,이스라엘,"1,238 ",1  
37,이집트,366 ,19  
38,알제리,231 ,17  
39,카타르,501 ,0  
40,요르단,127 ,0  
41,튀니지,114 ,3  
42,사우디,767 ,1  
43,모로코,143 ,4  
44,시리아,1 ,0 
45,미국,"53,268 ",696 
46,캐나다,"1,432 ",20  
47,브라질,"1,546 ",25  
48,멕시코,370 ,4  
49,에콰도르,790 ,15  
50,도미니카공화국,245 ,3  
51,아르헨티나,266 ,4  
52,칠레,746 ,1  
53,콜롬비아,277 ,3  
54,페루,395 ,2  
55,코스타리카,158 ,2  
56,파라과이,22 ,1  
57,파나마,345 ,6  
58,볼리비아,27 ,0 
59,자메이카,19 ,1 
60,온두라스,30 ,0 
61,세인트빈센트그레나딘,1 ,0 
62,쿠바,40 ,1 
63,가이아나,5 ,1 
64,베네수엘라,70 ,0 
65,엔티가바부다,1 ,0 
66,트리니다드 토바고,51 ,0 
67,우루과이,162 ,0 
68,세이트루시아,3 ,0 
69,수리남,2 ,0 
70,과테말라,20 ,1 
71,바하마,4 ,0 
72,엘살바도르,3,0
73,바베이도스,17 ,0 
74,니카라과,2,0
75,아이티,6 ,0 
76,그레나다,1,0
77,벨리즈,1,0
78,도미니카연방,1,0
79,이탈리아,"69,170 ","6,820 "
80,독일,"32,986 ",157  
81,프랑스,"22,302 ","1,100  "
82,영국,"8,077 ",422  
83,스페인,"36,673 ","2,696  "
84,오스트리아,"4,486 ",25  
85,크로아티아,306 ,0  
86,핀란드,700 ,1  
87,스웨덴,"2,016 ",25  
88,스위스,"8,836 ",86  
89,벨기에,"3,743 ",88  
90,덴마크,"1,460 ",24  
91,에스토니아,352 ,0  
92,조지아,67 ,0  
93,그리스,695 ,17  
94,북마케도니아,136 ,2  
95,노르웨이,"2,371 ",8  
96,루마니아,576 ,7  
97,네덜란드,"4,749 ",213  
98,벨라루스,81 ,0  
99,리투아니아,179 ,1  
100,산마리노,187 ,20  
101,아제르바이잔,72 ,1  
102,아이슬란드,588 ,2  
103,모나코,23 ,0  
104,룩셈부르크,875 ,8  
105,아르메니아,235 ,0  
106,아일랜드,"1,125 ",6  
107,체코,"1,236 ",1  
108,포르투갈,"2,060 ",23  
109,라트비아,180 ,0  
110,안도라,164 ,1  
111,폴란드,749 ,8  
112,우크라이나,84 ,3  
113,헝가리,187 ,8  
114,보스니아헤르체고비나,131 ,1  
115,슬로베니아,442 ,1  
116,리히텐슈타인,46 ,0  
117,세르비아,249 ,2  
118,슬로바키아,191 ,0  
119,불가리아,201 ,3  
120,몰타,107 ,0  
121,몰도바,109 ,1  
122,알바니아,123 ,4  
123,사이프러스,116 ,0  
124,터키,"1,529 ",37 
125,몬테네그로,22 ,0 
126,코소보,61,1
127,호주,"1,709 ",7 
128,뉴질랜드,102 ,0  
129,피지,3 ,0 
130,파푸아뉴기니,1 ,0 
131,나이지리아,22 ,0 
132,세네갈,79 ,0  
133,카메룬,72 ,0  
134,남아프리카공화국,402 ,0  
135,토고,18 ,0  
136,부르키나파소,99 ,3 
137,DR콩고,36 ,2 
