,0,1,2
0,지역 및 국가,발생,사망
1,중국,"85,066 ","4,634 "
2,홍콩,"4,822 ",90  
3,대만,488 ,7  
4,마카오,46 ,0  
5,일본,"69,001 ","1,307  "
6,싱가포르,"56,852 ",27  
7,태국,"3,417  ",58 
8,말레이시아,"9,340  ",127 
9,베트남,"1,044 ",34  
10,인도,"3,691,166  ","65,288 "
11,필리핀,"220,819  ","3,558 "
12,캄보디아,274  ,0 
13,네팔,"39,460  ",228 
14,스리랑카,"3,049  ",12 
15,아프가니스탄,"38,196 ","1,406  "
16,파키스탄,"296,149 ","6,298  "
17,인도네시아,"174,796  ","7,417 "
18,부탄,225  ,0 
19,몰디브,"7,804  ",28 
20,방글라데시,"312,996  ","4,281 "
21,브루나이,144 ,3  
22,몽골,301 ,0  
23,카자흐스탄,"131,596 ","1,878  "
24,우즈베키스탄," 41,994 ", 322 
25,키르기스스탄," 43,958 "," 1,060 "
26,동티모르,27  ,0 
27,미얀마,887  ,6 
28,라오스,22 ,0  
29,타지키스탄," 8,583 ", 68 
30,이란,"376,894 ","21,672 "
31,바레인,"51,972 ",190  
32,이집트,"98,939 ","5,421  "
33,이라크,"238,338 ","7,123  "
34,요르단,"2,097 ",15  
35,쿠웨이트,"85,811 ",534  
36,레바논,"17,308 ",167  
37,리비아,"14,624 ",242  
38,모로코,"62,590 ","1,141  "
39,오만,"85,928 ",689  
40,카타르,"118,994 ",198  
41,사우디아라비아,"316,670 ","3,929  "
42,시리아,"2,765 ",112  
43,튀니지,"3,803 ",77  
44,이스라엘,"118,538 ",957  
45,아랍에미리트,"70,805 ",384  
46,알제리,"44,494  ","1,510 "
47,예멘,"1,962 ",567  
48,미국,"6,071,971  ","184,589 "
49,캐나다,"129,425 ","9,132 "
50,멕시코,"606,036 ","65,241 "
51,파나마,"92,065  ","1,995 "
52,온두라스,"60,174  ","1,858 "
53,과테말라,"74,074  ","2,760 "
54,코스타리카,"39,699  ",418 
55,엘살바도르,"25,729  ",717 
56,벨리즈,993  ,13 
57,니카라과,"3,659  ",137 
58,도미니카공화국,"94,715 ","  1,710   "
59,쿠바,"4,032  ",94 
60,자메이카,"2,357  ",21 
61,트리니다드토바고,"1,727  ",22 
62,아이티,"8,224  ",201 
63,바하마,"2,167  ",43 
64,바베이도스,173  ,7 
65,앤티가바부다,94  ,3 
66,그레나다,24  ,0 
67,세인트루시아,26  ,0 
68,세인트빈센트 그레나딘,60  ,0 
69,도미니카연방,20  ,0 
70,세인트키츠네비스,17  ,0 
71,브라질,"3,950,931  ","122,596 "
72,페루,"652,037 ","28,944  "
73,에콰도르,"113,767  ","6,556 "
74,칠레,"413,145 ","11,321 "
75,콜롬비아 ,"607,938  ","19,364 "
76,아르헨티나,"408,426  ","8,498 "
77,볼리비아,"115,968  ","4,966 "
78,우루과이,"1,585  ",44 
79,파라과이,"17,105  ",308 
80,베네수엘라,"45,868  ",381 
81,가이아나,"1,234  ",37 
82,수리남,"4,009  ",67 
83,이탈리아,"270,189 ","35,491 "
84,독일,"246,015 ","9,307  "
85,프랑스,"286,007 ","30,661  "
