,0,1,2
0,지역 및 국가,발생,사망
1,중국,"82,919 ","4,633 "
2,홍콩,"1,047 ",4  
3,대만,440 ,6  
4,마카오,45 ,0  
5,일본,"15,874 ",643  
6,싱가포르,"23,787 ",21  
7,태국,"3,009 ",56  
8,말레이시아,"6,656 ",108  
9,베트남,288 ,0  
10,인도,"67,152 ","2,206  "
11,필리핀,"10,794 ",719  
12,캄보디아,122 ,0  
13,네팔,120 ,0  
14,러시아,"221,344 ","2,009  "
15,스리랑카,863 ,9  
16,아프가니스탄,"4,664 ",121  
17,파키스탄,"30,941 ",667  
18,인도네시아,"14,032 ",973  
19,부탄,9 ,0  
20,몰디브,835 ,3  
21,방글라데시,"14,657 ",228  
22,브루나이,141 ,1  
23,몽골,42 ,0  
24,카자흐스탄,"5,138 ",31 
25,우즈베키스탄,"2,411 ",10 
26,키르기스스탄,"1,016 ",12 
27,동티모르,24 ,0 
28,미얀마,180 ,6 
29,라오스,16 ,0 
30,타지키스탄,612 ,20 
31,이란,"109,286 ","6,685 "
32,쿠웨이트,"9,286 ",65  
33,바레인,"5,157 ",8  
34,아랍에미리트,"18,198 ",198  
35,이라크,"2,818 ",110  
36,오만,"3,574 ",17  
37,레바논,859 ,26  
38,이스라엘,"16,492 ",254  
39,이집트,"9,746 ",533  
40,알제리,"5,723 ",502  
41,카타르,"23,623 ",14  
42,요르단,562 ,9  
43,튀니지,"1,032 ",45  
44,사우디아라비아,"41,014 ",255  
45,모로코,"6,226 ",188  
46,시리아,47 ,3 
47,리비아,64,3
48,예멘,53 ,9 
49,미국,"1,346,723 ","80,352 "
50,캐나다,"69,981 ","4,993  "
51,멕시코,"35,022 ","3,465 "
52,파나마,"8,282 ",237  
53,온두라스,"1,830 ",108 
54,과테말라,967 ,24 
55,코스타리카,780 ,6  
56,엘살바도르,889,17
57,벨리즈,18 ,2 
58,니카라과,16,5
59,도미니카공화국,"10,347 ",388 
60,쿠바,"1,766 ",77 
61,자메이카,498 ,9 
62,트리니다드토바고,116 ,8 
63,아이티,151 ,12 
64,바하마,92 ,11 
65,바베이도스,84 ,7 
66,앤티가바부다,25 ,3 
67,그레나다,21,0
68,세인트루시아,18 ,0 
69,세인트빈센트그레나딘,17 ,0 
70,도미니카연방,16 ,0 
71,세인트키츠네비스,15 ,0 
72,브라질,"168,331 ","11,519 "
73,페루,"68,822 ","1,961  "
74,에콰도르,"29,559 ","2,127  "
75,칠레,"30,063 ",323  
76,콜롬비아 ,"10,495 ",445  
77,아르헨티나,"5,924 ",300  
78,볼리비아,"2,437 ",114 
79,우루가이,702 ,17 
80,파라과이,713 ,10  
81,베네수엘라,402 ,10 
82,가이아나,97 ,10 
83,수리남,10 ,1 
84,이탈리아,"219,814 ","30,739 "
85,독일,"172,576 ","7,661  "
86,프랑스,"139,519 ","26,643  "
87,영국,"223,060 ","32,065  "
88,스페인,"227,436 ","26,744  "
89,오스트리아,"15,845 ",620  
90,크로아티아,"2,187 ",90  
91,핀란드,"5,962 ",267  
92,스웨덴,"26,670 ","3,256  "
93,스위스,"30,344 ","1,543  "
94,벨기에,"53,449 ","8,707  "
95,덴마크,"10,429 ",529  
96,에스토니아,"1,739 ",60  
97,조지아,638 ,10  
98,그리스,"2,716 ",151  
99,북마케도니아,"1,642 ",91  
100,노르웨이,"8,099 ",217  
101,루마니아,"15,588 ",972  
102,네덜란드,"42,788 ","5,456  "
103,벨라루스,"23,906 ",135  
104,리투아니아,"1,479 ",50  
105,산마리노,637 ,41  
106,아제르바이잔,"2,519 ",32  
107,아이슬란드,"1,801 ",10  
108,모나코,96 ,1  
109,룩셈부르크,"3,886 ",101  
110,아르메니아,"3,392 ",45  
111,아일랜드,"23,135 ","1,467  "
112,체코,"8,123 ",280  
113,포르투갈,"27,689 ","1,144  "
114,라트비아,939 ,18  
115,안도라,756 ,48  
116,폴란드,"16,326 ",811  
117,우크라이나,"15,648 ",408  
118,헝가리,"3,284 ",421  
119,보스니아 헤르체고비나,"2,098 ",103  
120,슬로베니아,"1,457 ",102  
121,리히텐슈타인,83 ,1  
122,세르비아,"10,114 ",215  
123,슬로바키아,"1,457 ",26  
124,불가리아,"1,965 ",91  
125,몰타,496 ,5  
126,몰도바,"4,927 ",171  
127,알바니아,868 ,31  
128,사이프러스,898 ,22  
129,터키,"139,771 ","3,841 "
130,몬테네그로,325 ,8 
131,코소보,870,28
132,호주,"6,941 ",97 
133,뉴질랜드,"1,147 ",21  
134,피지,18 ,0 
135,파푸아뉴기니,8 ,0 
136,나이지리아,"4,399 ",143 
137,세네갈,"1,709 ",19  
138,카메룬,"2,579 ",114  
139,남아프리카공화국,"10,015 ",194  
140,토고,173 ,11  
141,부르키나파소,751 ,49 
142,DR콩고,"1,024 ",41 
143,코트디부아르,"1,700 ",21 
144,수단,"1,365 ",70 
145,에티오피아,239 ,5 
146,가봉,661 ,8 
147,가나,"4,263 ",22 
148,기니,"2,146 ",11 
149,케냐,672 ,32 
150,나미비아,16 ,0 
151,중앙아프리카공화국,179 ,0 
152,콩고,287 ,10 
153,적도기니,439 ,4 
154,에스와티니,172 ,2 
155,모리타니아,8 ,1 
