,0,1,2
0,지역 및 국가,발생,사망
1,중국,"82,971","4,634"
2,홍콩,"1,065 ",4  
3,대만,441 ,7  
4,마카오,45 ,0  
5,일본,"16,536 ",808 
6,싱가포르,"30,426 ",23  
7,태국,"3,037 ",56  
8,말레이시아,"7,059 ",114  
9,베트남,324 ,0  
10,인도,"118,447 ","3,583  "
11,필리핀,"13,434 ",846  
12,캄보디아,123 ,0  
13,네팔,487 ,3  
14,러시아,"326,448 ","3,249  "
15,스리랑카,"1,055",9
16,아프가니스탄,"9,216 ",205  
17,파키스탄,"50,694 ","1,067  "
18,인도네시아,"20,162 ","1,278  "
19,부탄,21 ,0  
20,몰디브,"1,216 ",4  
21,방글라데시,"28,511 ",408  
22,브루나이,141 ,1  
23,몽골,140 ,0  
24,카자흐스탄,"7,597 ",35  
25,우즈베키스탄,"3,006 ",13  
26,키르기스스탄,"1,350 ",14  
27,동티모르,24 ,0  
28,미얀마,199 ,6  
29,라오스,19 ,0  
30,타지키스탄,"2,350 ",44  
31,이란,"131,652 ","7,300 "
32,바레인,"8,338 ",12  
33,이집트,"15,003 ",696  
34,이라크,"3,964 ",147  
35,요르단,700 ,9  
36,쿠웨이트,"19,564 ",138  
37,레바논,"1,086 ",26  
38,리비아,72 ,3  
39,모로코,"7,300 ",197  
40,오만,"6,794 ",32  
41,카타르,"40,481 ",19  
42,사우디아라비아,"67,719 ",364  
43,시리아,58 ,3  
44,튀니지,"1,046 ",47  
45,이스라엘,"16,690 ",279  
46,아랍에미리트,"26,898 ",237  
47,알제리,"7,728 ",575  
48,예멘,197 ,33  
49,미국,"1,599,740 ","95,886 "
50,캐나다,"82,480 ","6,250  "
51,멕시코,"59,567 ","6,510 "
52,파나마,"9,977 ",287  
53,온두라스,"3,100 ",151  
54,과테말라,"2,265 ",45  
55,코스타리카,882 ,10  
56,엘살바도르,"1,640 ",32  
57,벨리즈,18 ,2  
58,니카라과,279 ,17  
59,도미니카공화국,"13,657 ",448 
60,쿠바,"1,908 ",80  
61,자메이카,529 ,9  
62,트리니다드토바고,116 ,8  
63,아이티,663 ,22  
64,바하마,97 ,11  
65,바베이도스,90 ,7  
66,앤티가바부다,25 ,3  
67,그레나다,22 ,0  
68,세인트루시아,18 ,0  
69,세인트빈센트그레나딘,18 ,0  
70,도미니카연방,16 ,0  
71,세인트키츠네비스,15 ,0  
72,브라질,"330,890 ","21,048 "
73,페루,"111,698 ","3,244  "
74,에콰도르,"35,885 ","3,056  "
75,칠레,"61,857 ",589  
76,콜롬비아 ,"17,687 ",630  
77,아르헨티나,"9,283 ",403  
78,볼리비아,"4,919 ",199  
79,우루과이,746 ,20  
80,파라과이,836 ,11  
