,0,1,2
0,지역 및 국가,발생,사망
1,중국,"81,708 ","3,331 "
2,홍콩,890 ,4  
3,대만,363 ,5  
4,마카오,44 ,0  
5,일본,"3,654 ",73  
6,싱가포르,"1,309 ",6  
7,태국,"2,067 ",20  
8,말레이시아,"3,483 ",57  
9,베트남,240 ,0  
10,인도,"3,374 ",77  
11,필리핀,"3,094 ",144  
12,캄보디아,114 ,0  
13,네팔,9 ,0  
14,러시아,"4,731 ",43  
15,스리랑카,159 ,5  
16,아프가니스탄,299 ,7  
17,파키스탄,"3,059 ",45  
18,인도네시아,"2,092 ",191  
19,부탄,5 ,0  
20,몰디브,19 ,0  
21,방글라데시,70 ,8  
22,브루나이,135 ,1  
23,몽골,14 ,0  
24,카자흐스탄,531 ,5 
25,우즈베키스탄,298 ,2 
26,키르기스스탄,147 ,1 
27,동티모르,1 ,0 
28,미얀마,20 ,1 
29,라오스,10 ,0 
30,이란,"58,226 ","3,603 "
31,쿠웨이트,556 ,1  
32,바레인,698 ,4  
33,아랍에미리트,"1,505 ",10  
34,이라크,961 ,61  
35,오만,298 ,2  
36,레바논,527 ,18  
37,이스라엘,"7,589 ",42  
38,이집트,"1,070 ",71  
39,알제리,"1,251 ",130  
40,카타르,"1,325 ",3  
41,요르단,323 ,5  
42,튀니지,553 ,19  
43,사우디아라비아,"2,385 ",34  
44,모로코,960 ,66  
45,시리아,19 ,2 
46,리비아,18,1
47,미국,"335,524 ","9,562 "
48,캐나다,"14,404 ",258  
49,브라질,"11,130 ",486  
50,멕시코,"1,688 ",60  
51,에콰도르,"3,465 ",172  
52,도미니카공화국,"1,488 ",68  
53,아르헨티나,"1,353 ",42  
54,칠레,"4,161 ",27  
55,콜롬비아,"1,267 ",25  
56,페루,"1,595 ",61  
57,코스타리카,416 ,2  
58,파라과이,96 ,3  
59,파나마,"1,673 ",41  
60,볼리비아,139 ,10 
61,자메이카,53 ,3 
62,온두라스,264 ,15 
63,세인트빈센트그레나딘,3 ,0 
64,쿠바,288 ,6 
65,가이아나,23 ,4 
66,베네수엘라,144 ,3 
67,앤티가바부다,7 ,0 
68,트리니다드토바고,100 ,6 
69,우루과이,386 ,4 
70,세인트루시아,13 ,0 
71,수리남,10 ,0 
72,과테말라,50 ,1 
73,바하마,24 ,3 
74,엘살바도르,56,3
75,바베이도스,51 ,0 
76,니카라과,5,1
77,아이티,18 ,0 
78,그레나다,12,0
79,벨리즈,4 ,0 
80,도미니카연방,11 ,0 
81,세인트키츠네비스,9 ,0 
82,이탈리아,"128,948 ","15,887 "
83,독일,"100,024 ","1,576  "
84,프랑스,"70,478 ","8,078  "
85,영국,"47,806 ","4,934  "
86,스페인,"130,709 ","12,418  "
87,오스트리아,"11,983 ",204  
88,크로아티아,"1,126 ",12  
89,핀란드,"1,882 ",25  
90,스웨덴,"6,443 ",373  
91,스위스,"21,104 ",559  
92,벨기에,"19,691 ","1,447  "
93,덴마크,"4,077 ",161  
94,에스토니아,"1,018 ",13  
95,조지아,170 ,1  
96,그리스,"1,673 ",68  
97,북마케도니아,483 ,17  
98,노르웨이,"5,510 ",50  
99,루마니아,"3,613 ",141  
100,네덜란드,"17,851 ","1,766  "
101,벨라루스,440 ,4  
102,리투아니아,771 ,9  
103,산마리노,259 ,32  
104,아제르바이잔,512 ,5  
105,아이슬란드,"1,417 ",4  
106,모나코,37 ,0  
107,룩셈부르크,"2,729 ",31  
108,아르메니아,746 ,7  
109,아일랜드,"4,604 ",137  
110,체코,"4,472 ",59  
111,포르투갈,"11,278 ",295  
112,라트비아,509 ,1  
113,안도라,466 ,17  
