,0,1,2
0,지역 및 국가,발생,사망
1,중국,"82,877 ","4,633 "
2,홍콩,"1,039 ",4  
3,대만,432 ,6  
4,마카오,45 ,0  
5,일본,"14,839 ",492  
6,싱가포르,"17,548 ",17  
7,태국,"2,966 ",54  
8,말레이시아,"6,071 ",103  
9,베트남,270 ,0  
10,인도,"37,776 ","1,223  "
11,필리핀,"8,772 ",579  
12,캄보디아,122 ,0  
13,네팔,59 ,0  
14,러시아,"124,054 ","1,222  "
15,스리랑카,690 ,7  
16,아프가니스탄,"2,469 ",72  
17,파키스탄,"18,770 ",432  
18,인도네시아,"10,551 ",800  
19,부탄,7 ,0  
20,몰디브,468 ,1  
21,방글라데시,"8,238 ",170  
22,브루나이,138 ,1  
23,몽골,38 ,0  
24,카자흐스탄,"3,785 ",25 
25,우즈베키스탄,"2,094 ",9 
26,키르기스스탄,769 ,8 
27,동티모르,24 ,0 
28,미얀마,151 ,6 
29,라오스,16 ,0 
30,타지키스탄,32 ,0 
31,이란,"96,448 ","6,156 "
32,쿠웨이트,"4,619 ",33  
33,바레인,"3,243 ",8  
34,아랍에미리트,"13,038 ",111  
35,이라크,"2,153 ",94  
36,오만,"2,483 ",12  
37,레바논,733 ,25  
38,이스라엘,"16,152 ",227  
39,이집트,"5,895 ",406  
40,알제리,"4,154 ",453  
41,카타르,"14,872 ",12  
42,요르단,459 ,9  
43,튀니지,998 ,41  
44,사우디아라비아,"25,459 ",176  
45,모로코,"4,687 ",172  
46,시리아,44 ,3 
47,리비아,63,3
48,예멘,7 ,2 
49,미국,"1,130,115 ","66,224 "
50,캐나다,"56,714 ","3,566  "
51,브라질,"96,559 ","6,750  "
52,멕시코,"20,739 ","1,972  "
53,에콰도르,"26,336 ","1,063  "
54,도미니카공화국,"7,288 ",313  
55,아르헨티나,"4,476 ",220  
56,칠레,"17,008 ",247  
57,콜롬비아,"6,507 ",293  
58,페루,"42,534 ","1,200  "
59,코스타리카,719 ,6  
60,파라과이,266 ,10  
61,파나마,"6,532 ",188  
62,볼리비아,"1,167 ",62 
63,자메이카,422 ,8 
64,온두라스,804 ,75 
65,세인트빈센트그레나딘,16 ,0 
66,쿠바,"1,537 ",64 
67,가이아나,82 ,9 
68,베네수엘라,333 ,10 
69,앤티가바부다,24 ,3 
70,트리니다드토바고,116 ,8 
71,우루과이,643 ,17 
72,세인트루시아,17 ,0 
73,수리남,10 ,1 
74,과테말라,599 ,16 
75,바하마,81 ,11 
76,엘살바도르,424,10
77,바베이도스,81 ,7 
78,니카라과,14,3
79,아이티,81 ,8 
80,그레나다,20,0
81,벨리즈,18 ,2 
82,도미니카연방,16 ,0 
83,세인트키츠네비스,15 ,0 
84,이탈리아,"209,328 ","28,710 "
85,독일,"164,967 ","6,812  "
86,프랑스,"130,979 ","24,760  "
87,영국,"182,260 ","28,131  "
88,스페인,"216,582 ","25,100  "
89,오스트리아,"15,508 ",596  
90,크로아티아,"2,085 ",75  
91,핀란드,"5,051 ",218  
92,스웨덴,"22,082 ","2,669  "
93,스위스,"29,817 ","1,467  "
94,벨기에,"49,517 ","7,765  "
95,덴마크,"9,311 ",460  
96,에스토니아,"1,694 ",52  
97,조지아,582 ,8  
98,그리스,"2,591 ",140  
99,북마케도니아,"1,494 ",93  
100,노르웨이,"7,759 ",204  
101,루마니아,"12,732 ",755  
102,네덜란드,"40,236 ","4,987  "
103,벨라루스,"14,917 ",93  
104,리투아니아,"1,399 ",45  
105,산마리노,580 ,41  
106,아제르바이잔,"1,854 ",25  
107,아이슬란드,"1,798 ",10  
108,모나코,98 ,1  
109,룩셈부르크,"3,802 ",92  
110,아르메니아,"2,273 ",33  
111,아일랜드,"21,176 ","1,265  "
112,체코,"7,737 ",240  
113,포르투갈,"25,190 ","1,023  "
114,라트비아,870 ,16  
115,안도라,746 ,43  
116,폴란드,"13,375 ",664  
117,우크라이나,"11,411 ",279  
118,헝가리,"2,942 ",335  
119,보스니아 헤르체고비나,"1,757 ",68  
120,슬로베니아,"1,434 ",93  
121,리히텐슈타인,83 ,1  
122,세르비아,"9,205 ",185  
123,슬로바키아,"1,403 ",23  
124,불가리아,"1,588 ",69  
125,몰타,467 ,4  
126,몰도바,"3,980 ",122  
127,알바니아,789 ,31  
128,사이프러스,857 ,20  
129,터키,"124,375 ","3,336 "
130,몬테네그로,322 ,7 
131,코소보,813,22
132,호주,"6,767 ",93 
133,뉴질랜드,"1,134 ",20  
134,피지,18 ,0 
135,파푸아뉴기니,8 ,0 
136,나이지리아,"2,170 ",68 
137,세네갈,"1,024 ",9  
138,카메룬,"2,069 ",61  
139,남아프리카공화국,"5,951 ",116  
140,토고,123 ,9  
141,부르키나파소,649 ,44 
142,DR콩고,604 ,32 
143,코트디부아르,"1,275 ",14 
144,수단,533 ,36 
145,에티오피아,133 ,3 
146,가봉,308 ,4 
147,가나,"2,074 ",17 
148,기니,"1,537 ",7 
149,케냐,411 ,21 
150,나미비아,16 ,0 
151,중앙아프리카공화국,64 ,0 
152,콩고,229 ,9 
153,적도기니,315 ,2 
154,에스와티니,106 ,1 
155,모리타니아,8 ,1 
156,르완다,249 ,0 
157,세이쉘,11 ,0 
158,베냉,90 ,2 
159,라이베리아,152 ,18 
160,탄자니아,480 ,17 
161,지부티,"1,112 ",2 
162,감비아,12 ,1 
163,잠비아,109 ,3 
164,모리셔스,332 ,10 
165,차드,73 ,5 
166,니제르,728 ,33 
167,카보베르데,121 ,1 
168,짐바브웨,34 ,4 
169,소말리아,671 ,31 
170,마다가스카르,135 ,0 
171,앙골라,29 ,2 
172,에리트레아,39 ,0 
173,우간다,83 ,0 
174,모잠비크,79,0
175,기니비사우,257 ,1 
176,말리,508 ,26 
177,보츠와나,23 ,1 
178,브룬디,15 ,1 
179,시에라리온,136 ,8 
180,말라위,37 ,3 
181,남수단,45 ,0 
182,상투메프린시페,16 ,1 
183,코모로,1 ,0 
184,일본크루즈 포함 34개 영토,"6,036",195
185,합계,"3,363,885","242,293"
