,0,1,2
0,지역 및 국가,발생,사망
1,중국,"82,881 ","4,633 "
2,홍콩,"1,040 ",4  
3,대만,438 ,6  
4,마카오,45 ,0  
5,일본,"15,231 ",521 
6,싱가포르,"18,778 ",18  
7,태국,"2,987 ",54  
8,말레이시아,"6,298 ",105  
9,베트남,271 ,0  
10,인도,"42,533 ","1,373  "
11,필리핀,"9,223 ",607  
12,캄보디아,122 ,0  
13,네팔,75 ,0  
14,러시아,"145,268 ","1,356  "
15,스리랑카,718 ,7  
16,아프가니스탄,"2,469 ",72  
17,파키스탄,"20,884 ",476  
18,인도네시아,"11,192 ",845  
19,부탄,7 ,0  
20,몰디브,527 ,1  
21,방글라데시,"9,455 ",177  
22,브루나이,138 ,1  
23,몽골,39 ,0  
24,카자흐스탄,"3,988 ",27 
25,우즈베키스탄,"2,160 ",10 
26,키르기스스탄,830 ,10 
27,동티모르,24 ,0 
28,미얀마,155 ,6 
29,라오스,16 ,0 
30,타지키스탄,128 ,4 
31,이란,"98,647 ","6,277 "
32,쿠웨이트,"5,278 ",40  
33,바레인,"3,464 ",8  
34,아랍에미리트,"14,163 ",126  
35,이라크,"2,296 ",97  
36,오만,"2,637 ",12  
37,레바논,740 ,25  
38,이스라엘,"16,237 ",234  
39,이집트,"6,465 ",429  
40,알제리,"4,474 ",463  
41,카타르,"16,191 ",12  
42,요르단,465 ,9  
43,튀니지,"1,013 ",42  
44,사우디아라비아,"28,656 ",191  
45,모로코,"5,000 ",177  
46,시리아,44 ,3 
47,리비아,63,3
48,예멘,10 ,2 
49,미국,"1,177,784 ","68,689 "
50,캐나다,"59,844 ","3,766  "
51,브라질,"105,222 ","7,288  "
52,멕시코,"23,471 ","2,154  "
53,에콰도르,"29,538 ","1,564  "
54,도미니카공화국,"7,954 ",333  
55,아르헨티나,"4,681 ",241  
56,칠레,"19,663 ",260  
57,콜롬비아,"7,285 ",324  
58,페루,"47,372 ","1,344  "
59,코스타리카,733 ,6  
60,파라과이,370 ,10  
61,파나마,"7,090 ",197  
62,볼리비아,"1,470 ",71 
63,자메이카,463 ,8 
64,온두라스,"1,010 ",76 
65,세인트빈센트그레나딘,16 ,0 
66,쿠바,"1,649 ",67 
67,가이아나,82 ,9 
68,베네수엘라,345 ,10 
69,앤티가바부다,25 ,3 
70,트리니다드토바고,116 ,8 
71,우루과이,652 ,17 
72,세인트루시아,17 ,0 
73,수리남,10 ,1 
74,과테말라,688 ,19 
75,바하마,82 ,11 
76,엘살바도르,490,11
77,바베이도스,81 ,7 
78,니카라과,14,3
79,아이티,85 ,8 
80,그레나다,21,0
81,벨리즈,18 ,2 
82,도미니카연방,16 ,0 
83,세인트키츠네비스,15 ,0 
84,이탈리아,"211,938 ","29,079 "
85,독일,"165,914 ","6,982  "
86,프랑스,"131,863 ","25,201  "
87,영국,"190,584 ","28,734  "
88,스페인,"218,011 ","25,428  "
89,오스트리아,"15,597 ",598  
90,크로아티아,"2,096 ",79  
