,0,1,2
0,지역 및 국가,발생,사망
1,중국,"82,816 ","4,632 "
2,홍콩,"1,035 ",4 
3,대만,428 ,6 
4,마카오,45 ,0 
5,일본,"12,829 ",334 
6,싱가포르,"12,075 ",12 
7,태국,"2,854 ",50 
8,말레이시아,"5,603 ",95 
9,베트남,268 ,0 
10,인도,"23,077 ",718 
11,필리핀,"6,981 ",462 
12,캄보디아,122 ,0 
13,네팔,48 ,0 
14,러시아,"68,622 ",615 
15,스리랑카,368 ,7 
16,아프가니스탄,"1,226 ",40 
17,파키스탄,"11,155 ",237 
18,인도네시아,"7,775 ",647 
19,부탄,7 ,0 
20,몰디브,94 ,0 
21,방글라데시,"4,186 ",127 
22,브루나이,138 ,1 
23,몽골,35 ,0 
24,카자흐스탄,"2,025 ",19 
25,우즈베키스탄,"1,778 ",7 
26,키르기스스탄,656 ,8 
27,동티모르,24 ,0 
28,미얀마,139 ,5 
29,라오스,16 ,0 
30,이란,"88,194 ","5,574 "
31,쿠웨이트,"2,614 ",15 
32,바레인,"2,506 ",8 
33,아랍에미리트,"9,281 ",64 
34,이라크,"1,677 ",83 
35,오만,"1,790 ",9 
36,레바논,696 ,22 
37,이스라엘,"15,058 ",194 
38,이집트,"4,092 ",294 
39,알제리,"3,007 ",407 
40,카타르,"8,525 ",10 
41,요르단,437 ,7 
42,튀니지,918 ,38 
43,사우디아라비아,"15,102 ",127 
44,모로코,"3,692 ",155 
45,시리아,42 ,3 
46,리비아,60,2
47,예멘,1 ,0 
48,미국,"890,524 ","51,017 "
49,캐나다,"42,739 ","2,197 "
50,브라질,"52,995 ","3,670 "
51,멕시코,"12,872 ","1,221 "
52,에콰도르,"11,183 ",560 
53,도미니카공화국,"5,543 ",265 
54,아르헨티나,"3,340 ",159 
55,칠레,"12,306 ",174 
56,콜롬비아,"4,356 ",206 
57,페루,"21,648 ",634 
58,코스타리카,681 ,6 
59,파라과이,213 ,9 
60,파나마,"4,992 ",144 
61,볼리비아,672 ,40 
62,자메이카,243 ,6 
63,온두라스,519 ,47 
64,세인트빈센트그레나딘,13 ,0 
65,쿠바,"1,235 ",43 
66,가이아나,67 ,7 
67,베네수엘라,298 ,10 
68,앤티가바부다,24 ,3 
69,트리니다드토바고,115 ,8 
70,우루과이,549 ,12 
71,세인트루시아,15 ,0 
72,수리남,10 ,1 
73,과테말라,342 ,10 
74,바하마,70 ,9 
75,엘살바도르,250,8
76,바베이도스,76 ,6 
77,니카라과,10,2
78,아이티,62 ,4 
79,그레나다,15,0
80,벨리즈,18 ,2 
81,도미니카연방,16 ,0 
82,세인트키츠네비스,15 ,0 
83,이탈리아,"192,994 ","25,969 "
84,독일,"154,545 ","5,723 "
85,프랑스,"122,577 ","22,245 "
86,영국,"143,464 ","19,506 "
87,스페인,"219,764* ","22,524 "
88,오스트리아,"15,068 ",513 
89,크로아티아,"1,981 ",50 
90,핀란드,"4,284 ",172 
91,스웨덴,"17,567 ","2,152 "
92,스위스,"28,677 ","1,309 "
93,벨기에,"44,293 ","6,679 "
94,덴마크,"8,073 ",394 
95,에스토니아,"1,592 ",45 
96,조지아,431 ,5 
97,그리스,"2,463 ",125 
98,북마케도니아,"1,300 ",56 
99,노르웨이,"7,345 ",180 
100,루마니아,"10,417 ",527 
101,네덜란드,"36,535 ","4,289 "
102,벨라루스,"8,022 ",60 
103,리투아니아,"1,410 ",40 
104,산마리노,501 ,40 
105,아제르바이잔,"1,548 ",20 
106,아이슬란드,"1,789 ",10 
107,모나코,98 ,1 
108,룩셈부르크,"3,665 ",83 
109,아르메니아,"1,523 ",24 
110,아일랜드,"18,184 ",829 
111,체코,"7,188 ",213 
112,포르투갈,"22,797 ",854 
113,라트비아,778 ,11 
114,안도라,726 ,38 
115,폴란드,"10,892 ",494 
116,우크라이나,"7,647 ",193 
117,헝가리,"2,383 ",250 
118,보스니아 헤르체고비나,"1,413 ",53 
119,슬로베니아,"1,366 ",79 
120,리히텐슈타인,82 ,1 
121,세르비아,"7,276 ",139 
122,슬로바키아,"1,325 ",15 
123,불가리아,"1,097 ",52 
124,몰타,445 ,3 
125,몰도바,"2,926 ",80 
126,알바니아,678 ,28 
127,사이프러스,795 ,17 
128,터키,"104,912 ","2,600 "
129,몬테네그로,316 ,5 
130,코소보,669,19
131,호주,"6,667 ",76 
132,뉴질랜드,"1,114 ",17 
133,피지,18 ,0 
