,0,1,2
0,지역 및 국가,발생,사망
1,중국,"82,719 ","4,632 "
2,홍콩,"1,021 ",4  
3,대만,395 ,6  
4,마카오,45 ,0  
5,일본,"9,795 ",154  
6,싱가포르,"5,050 ",11  
7,태국,"2,700 ",47  
8,말레이시아,"5,182 ",84  
9,베트남,268 ,0  
10,인도,"13,835 ",452  
11,필리핀,"5,660 ",362  
12,캄보디아,122 ,0  
13,네팔,16 ,0  
14,러시아,"32,008 ",273  
15,스리랑카,238 ,7  
16,아프가니스탄,845 ,30  
17,파키스탄,"7,025 ",135  
18,인도네시아,"5,516 ",496  
19,부탄,5 ,0  
20,몰디브,23 ,0  
21,방글라데시,"1,572 ",60  
22,브루나이,136 ,1  
23,몽골,31 ,0  
24,카자흐스탄,"1,480 ",16 
25,우즈베키스탄,"1,380 ",4 
26,키르기스스탄,489 ,5 
27,동티모르,18 ,0 
28,미얀마,85 ,4 
29,라오스,16 ,0 
30,이란,"79,494 ","4,958 "
31,쿠웨이트,"1,658 ",5  
32,바레인,"1,740 ",7  
33,아랍에미리트,"5,825 ",35  
34,이라크,"1,434 ",80  
35,오만,"1,069 ",5  
36,레바논,668 ,21  
37,이스라엘,"12,982 ",151  
38,이집트,"2,673 ",196  
39,알제리,"2,268 ",348  
40,카타르,"4,663 ",7  
41,요르단,402 ,7  
42,튀니지,822 ,37  
43,사우디아라비아,"7,142 ",87  
44,모로코,"2,528 ",133  
45,시리아,33 ,2 
46,리비아,49,1
47,예멘,1 ,0 
48,미국,"699,105 ","36,727 "
49,캐나다,"31,872 ","1,309  "
50,브라질,"33,682 ","2,141  "
51,멕시코,"5,847 ",449  
52,에콰도르,"8,225 ",403  
53,도미니카공화국,"3,755 ",196  
54,아르헨티나,"2,598 ",115  
55,칠레,"8,807 ",105  
56,콜롬비아,"3,105 ",131  
57,페루,"13,489 ",300  
58,코스타리카,626 ,4  
59,파라과이,174 ,8  
60,파나마,"3,751 ",103  
61,볼리비아,441 ,29 
62,자메이카,125 ,5 
63,온두라스,426 ,35 
64,세인트빈센트그레나딘,12 ,0 
65,쿠바,862 ,27 
66,가이아나,55 ,6 
67,베네수엘라,197 ,9 
68,앤티가바부다,23 ,2 
69,트리니다드토바고,114 ,8 
70,우루과이,493 ,9 
71,세인트루시아,15 ,0 
72,수리남,10 ,1 
73,과테말라,196 ,5 
74,바하마,53 ,8 
75,엘살바도르,164,6
76,바베이도스,75 ,5 
77,니카라과,9,1
78,아이티,41 ,3 
79,그레나다,14,0
80,벨리즈,18 ,2 
81,도미니카연방,16 ,0 
82,세인트키츠네비스,14 ,0 
83,이탈리아,"172,434 ","22,745 "
84,독일,"140,886 ","4,326  "
85,프랑스,"109,252 ","18,681  "
86,영국,"108,692 ","14,576  "
87,스페인,"188,068 ","19,478  "
88,오스트리아,"14,553 ",431  
89,크로아티아,"1,791 ",35  
90,핀란드,"3,369 ",75  
91,스웨덴,"13,516 ","1,400  "
92,스위스,"27,078 ","1,059  "
93,벨기에,"36,138 ","5,163  "
94,덴마크,"6,879 ",321  
95,에스토니아,"1,434 ",36  
96,조지아,370 ,3  
97,그리스,"2,207 ",105  
98,북마케도니아,"1,081 ",46  
99,노르웨이,"6,791 ",136  
100,루마니아,"7,707 ",387  
101,네덜란드,"30,449 ","3,459  "
102,벨라루스,"4,204 ",40  
103,리투아니아,"1,149 ",32  
104,산마리노,426 ,38  
105,아제르바이잔,"1,283 ",15  
106,아이슬란드,"1,739 ",8  
107,모나코,93 ,0  
108,룩셈부르크,"3,444 ",69  
109,아르메니아,"1,159 ",18  
110,아일랜드,"13,980 ",530  
111,체코,"6,433 ",169  
112,포르투갈,"19,022 ",657  
113,라트비아,675 ,5  
114,안도라,694 ,34  
115,폴란드,"7,918 ",314  
116,우크라이나,"4,662 ",125  
117,헝가리,"1,763 ",156  
118,보스니아 헤르체고비나,"1,169 ",42  
119,슬로베니아,"1,268 ",61  
120,리히텐슈타인,81 ,1  
121,세르비아,"5,318 ",103  
122,슬로바키아,977 ,8  
123,불가리아,800 ,38  
124,몰타,412 ,3  
125,몰도바,"2,154 ",54  
126,알바니아,518 ,26  
127,사이프러스,735 ,17  
128,터키,"78,546 ","1,769 "
129,몬테네그로,303 ,4 
130,코소보,449,11
131,호주,"6,468 ",63 
132,뉴질랜드,"1,086 ",11  
133,피지,17 ,0 
134,파푸아뉴기니,7 ,0 
135,나이지리아,373 ,11 
136,세네갈,335 ,2  
137,카메룬,855 ,17  
138,남아프리카공화국,"2,605 ",48  
139,토고,81 ,5  
140,부르키나파소,543 ,32 
141,DR콩고,287 ,23 
142,코트디부아르,688 ,6 
143,수단,32 ,5 
144,에티오피아,92 ,3 
145,가봉,95 ,1 
146,가나,641 ,8 
147,기니,438 ,1 
148,케냐,234 ,11 
149,나미비아,16 ,0 
150,중앙아프리카공화국,12 ,0 
151,콩고,117 ,5 
152,적도기니,51 ,0 
153,에스와티니,16 ,1 
154,모리타니아,7 ,1 
155,르완다,138 ,0 
156,세이쉘,11 ,0 
157,베냉,37 ,1 
158,라이베리아,73 ,6 
159,탄자니아,94 ,4 
160,지부티,732 ,2 
161,감비아,9 ,1 
162,잠비아,48 ,2 
163,모리셔스,324 ,9 
164,차드,27 ,0 
165,니제르,609 ,15 
166,카보베르데,55 ,1 
167,짐바브웨,23 ,3 
168,소말리아,80 ,5 
169,마다가스카르,117 ,0 
170,앙골라,19 ,2 
171,에리트레아,35 ,0 
172,우간다,55 ,0 
173,모잠비크,29,0
174,기니비사우,46 ,0 
175,말리,171 ,13 
176,보츠와나,15 ,1 
177,브룬디,5 ,0 
178,시에라리온,15 ,0 
179,말라위,16 ,2 
180,남수단,4 ,0 
181,상투메프린시페,4 ,0 
182,일본 크루즈,712 ,13 
183,팔레스타인 ,307 ,2  
184,지브롤터,131 ,0  
185,세인트마틴,35 ,2  
