,0,1,2
0,지역 및 국가,발생,사망
1,중국,"82,992 ","4,634 "
2,홍콩,"1,065 ",4  
3,대만,441 ,7  
4,마카오,45 ,0  
5,일본,"16,623 ",846  
6,싱가포르,"31,960 ",23  
7,태국,"3,042 ",57  
8,말레이시아,"7,245 ",115  
9,베트남,325 ,0  
10,인도,"138,845 ","4,021  "
11,필리핀,"14,035 ",868  
12,캄보디아,124 ,0  
13,네팔,675 ,3  
14,러시아,"353,427 ","3,633  "
15,스리랑카,"1,141 ",9  
16,아프가니스탄,"11,173 ",219  
17,파키스탄,"56,349 ","1,167  "
18,인도네시아,"22,271 ","1,372  "
19,부탄,27 ,0  
20,몰디브,"1,371 ",4  
21,방글라데시,"33,610 ",480  
22,브루나이,141 ,1  
23,몽골,141 ,0  
24,카자흐스탄,"8,531 ",35  
25,우즈베키스탄,"3,180 ",13  
26,키르기스스탄,"1,433 ",16  
27,동티모르,24 ,0  
28,미얀마,201 ,6  
29,라오스,19 ,0  
30,타지키스탄,"2,929 ",46  
31,이란,"137,724 ","7,451 "
32,바레인,"9,164 ",14  
33,이집트,"17,265 ",764  
34,이라크,"4,632 ",163  
35,요르단,711 ,9  
36,쿠웨이트,"21,967 ",165  
37,레바논,"1,119 ",26  
38,리비아,75 ,3  
39,모로코,"7,495 ",200  
40,오만,"7,770 ",37  
41,카타르,"45,465 ",26  
42,사우디아라비아,"74,795 ",399  
43,시리아,106 ,4  
44,튀니지,"1,051 ",48  
45,이스라엘,"16,720 ",280  
46,아랍에미리트,"29,485 ",245  
47,알제리,"8,306 ",600  
48,예멘,237 ,45  
49,미국,"1,662,250 ","98,218 "
50,캐나다,"85,711 ","6,545  "
51,멕시코,"68,620 ","7,394 "
52,파나마,"10,577 ",299  
53,온두라스,"3,743 ",266  
54,과테말라,"3,054 ",57  
55,코스타리카,918 ,10  
56,엘살바도르,"1,915 ",35  
57,벨리즈,18 ,2  
58,니카라과,279 ,17  
59,도미니카공화국,"14,801 ",458 
60,쿠바,"1,941 ",82  
61,자메이카,550 ,9  
62,트리니다드토바고,116 ,8  
63,아이티,865 ,26  
64,바하마,100 ,11  
65,바베이도스,92 ,7  
66,앤티가바부다,25 ,3  
67,그레나다,22 ,0  
68,세인트루시아,18 ,0  
69,세인트빈센트그레나딘,18 ,0  
70,도미니카연방,16 ,0  
71,세인트키츠네비스,15 ,0  
72,브라질,"374,898 ","23,473 "
73,페루,"123,979 ","3,629  "
74,에콰도르,"37,355 ","3,203  "
75,칠레,"73,997 ",761  
76,콜롬비아 ,"20,177 ",705  
77,아르헨티나,"11,353 ",445  
78,볼리비아,"5,915 ",240  
79,우루과이,764 ,22  
80,파라과이,862 ,11  
81,베네수엘라,"1,010 ",10  
82,가이아나,127 ,10  
83,수리남,11 ,1  
84,이탈리아,"230,158 ","32,877 "
85,독일,"180,600 ","8,309  "
86,프랑스,"145,297 ","28,432  "
87,영국,"261,184 ","36,914  "
88,스페인,"235,400 ","27,940 "
89,오스트리아,"16,478 ",641  
90,크로아티아,"2,244 ",99  
91,핀란드,"6,579 ",307  
92,스웨덴,"33,843 ","4,029  "
93,스위스,"30,746 ","1,642  "
94,벨기에,"57,092 ","9,280  "
95,덴마크,"11,360 ",562  
96,에스토니아,"1,823 ",64  
97,조지아,731 ,12  
98,그리스,"2,878 ",171  
99,북마케도니아,"1,978 ",113  
100,노르웨이,"8,309 ",235  
101,루마니아,"18,283 ","1,193  "
102,네덜란드,"45,445 ","5,830  "
103,벨라루스,"36,198 ",199  
104,리투아니아,"1,623 ",63  
105,산마리노,672 ,41  
106,아제르바이잔,"4,122 ",49  
107,아이슬란드,"1,804 ",10  
108,모나코,98 ,1  
109,룩셈부르크,"3,992 ",110  
110,아르메니아,"7,113 ",87  
111,아일랜드,"24,698 ","1,606  "
112,체코,"8,957 ",315  
113,포르투갈,"30,788 ","1,330  "
114,라트비아,"1,047 ",22  
115,안도라,763 ,51  
116,폴란드,"21,631 ","1,007  "
117,우크라이나,"21,245 ",623  
118,헝가리,"3,756 ",491  
119,보스니아 헤르체고비나,"2,391 ",141  
120,슬로베니아,"1,509 ",107  
121,리히텐슈타인,83 ,1  
122,세르비아,"11,159 ",238  
123,슬로바키아,"1,509 ",28  
124,불가리아,"2,433 ",130  
125,몰타,610 ,6  
126,몰도바,"7,096 ",256  
127,알바니아,"1,004 ",32  
