,0,1,2
0,지역 및 국가,발생,사망
1,중국,"82,954 ","4,634 "
2,홍콩,"1,055 ",4 
3,대만,440 ,7  
4,마카오,45 ,0 
5,일본,"16,305 ",749 
6,싱가포르,"28,038 ",22  
7,태국,"3,028 ",56  
8,말레이시아,"6,872 ",113  
9,베트남,318 ,0  
10,인도,"90,927 ","2,872  "
11,필리핀,"12,305 ",817  
12,캄보디아,122 ,0  
13,네팔,291 ,1  
14,러시아,"281,752 ","2,631  "
15,스리랑카,960 ,9  
16,아프가니스탄,"6,664 ",169  
17,파키스탄,"40,151 ",873  
18,인도네시아,"17,025 ","1,089  "
19,부탄,21 ,0  
20,몰디브,"1,078 ",4  
21,방글라데시,"20,995 ",314  
22,브루나이,141 ,1  
23,몽골,135 ,0  
24,카자흐스탄,"6,157 ",34 
25,우즈베키스탄,"2,741 ",11 
26,키르기스스탄,"1,138 ",14 
27,동티모르,24 ,0 
28,미얀마,182 ,6 
29,라오스,19 ,0 
30,타지키스탄,"1,322 ",39 
31,이란,"120,198 ","6,988 "
32,쿠웨이트,"14,850 ",112  
33,바레인,"6,930 ",12  
34,아랍에미리트,"23,358 ",220  
35,이라크,"3,404 ",123  
36,오만,"5,186 ",22  
37,레바논,911 ,26  
38,이스라엘,"16,609 ",271  
39,이집트,"11,719 ",612  
40,알제리,"6,821 ",542  
41,카타르,"32,604 ",15  
42,요르단,613 ,9  
43,튀니지,"1,037 ",45  
44,사우디아라비아,"54,752 ",312  
45,모로코,"6,798 ",192  
46,시리아,51 ,3 
47,리비아,65,3
48,예멘,126 ,19 
49,미국,"1,486,376 ","89,550 "
50,캐나다,"77,002 ","5,782  "
51,멕시코,"47,144 ","5,045 "
52,파나마,"9,268 ",266  
53,온두라스,"2,460 ",134 
54,과테말라,"1,643 ",30 
55,코스타리카,843 ,8  
56,엘살바도르,1265,25
57,벨리즈,18 ,2 
58,니카라과,25,8
59,도미니카공화국,"12,110 ",428 
60,쿠바,"1,862 ",79 
61,자메이카,511 ,9 
62,트리니다드토바고,116 ,8 
63,아이티,310 ,20 
64,바하마,96 ,11 
65,바베이도스,85 ,7 
66,앤티가바부다,25 ,3 
67,그레나다,22,0
68,세인트루시아,18 ,0 
69,세인트빈센트그레나딘,17 ,0 
70,도미니카연방,16 ,0 
71,세인트키츠네비스,15 ,0 
72,브라질,"241,080 ","16,118 "
73,페루,"92,273 ","2,648  "
74,에콰도르,"33,182 ","2,736  "
75,칠레,"43,781 ",450  
76,콜롬비아 ,"14,216 ",546  
77,아르헨티나,"7,479 ",363  
78,볼리비아,"3,577 ",164 
79,우루과이,732 ,19 
80,파라과이,778 ,11  
81,베네수엘라,504 ,10 
82,가이아나,116 ,10 
83,수리남,10 ,1 
84,이탈리아,"225,435 ","31,908 "
85,독일,"176,369 ","7,962  "
86,프랑스,"142,411 ","28,108  "
87,영국,"243,695 ","34,636  "
88,스페인,"231,350 ","27,650  "
89,오스트리아,"16,179 ",629  
90,크로아티아,"2,224 ",95  
91,핀란드,"6,286 ",297  
