,0,1,2
0,지역 및 국가,발생,사망
1,중국,"82,995 ","4,634 "
2,홍콩,"1,066 ",4  
3,대만,441 ,7  
4,마카오,45 ,0  
5,일본,"16,683 ",867 
6,싱가포르,"32,876 ",23  
7,태국,"3,054 ",57  
8,말레이시아,"7,604 ",115  
9,베트남,327 ,0  
10,인도,"151,767 ","4,337  "
11,필리핀,"14,669 ",886  
12,캄보디아,124 ,0  
13,네팔,772 ,4  
14,러시아,"370,680 ","3,968  "
15,스리랑카,"1,319 ",10  
16,아프가니스탄,"12,456 ",227  
17,파키스탄,"59,151 ","1,225  "
18,인도네시아,"23,165 ","1,418  "
19,부탄,27 ,0  
20,몰디브,"1,438 ",5  
21,방글라데시,"36,751 ",522  
22,브루나이,141 ,1  
23,몽골,141 ,0  
24,카자흐스탄,"9,304 ",37  
25,우즈베키스탄,"3,333 ",14  
26,키르기스스탄,"1,520 ",16  
27,동티모르,24 ,0  
28,미얀마,206 ,6  
29,라오스,19 ,0  
30,타지키스탄,"3,266 ",47  
31,이란,"141,591 ","7,564 "
32,바레인,"9,633 ",15  
33,이집트,"18,756 ",797  
34,이라크,"4,848 ",169  
35,요르단,718 ,9  
36,쿠웨이트,"23,267 ",175  
37,레바논,"1,161 ",26  
38,리비아,79 ,3  
39,모로코,"7,584 ",202  
40,오만,"8,373 ",38  
41,카타르,"48,947 ",30  
42,사우디아라비아,"78,541 ",425  
43,시리아,121 ,4  
44,튀니지,"1,051 ",48  
45,이스라엘,"16,771 ",281  
46,아랍에미리트,"31,086 ",253  
47,알제리,"8,697 ",617  
48,예멘,253 ,50  
49,미국,"1,697,459 ","100,271 "
50,캐나다,"86,928 ","6,671  "
51,멕시코,"74,560 ","8,134 "
52,파나마,"11,183 ",310  
53,온두라스,"4,189 ",182  
54,과테말라,"3,760 ",59  
55,코스타리카,951 ,10  
56,엘살바도르,"2,042 ",36  
57,벨리즈,18 ,2  
58,니카라과,279 ,17  
59,도미니카공화국,"15,264 ",468 
60,쿠바,"1,963 ",82  
61,자메이카,556 ,9  
62,트리니다드토바고,116 ,8  
63,아이티,"1,063 ",31  
64,바하마,100 ,11  
65,바베이도스,92 ,7  
66,앤티가바부다,25 ,3  
67,그레나다,23 ,0  
68,세인트루시아,18 ,0  
69,세인트빈센트그레나딘,18 ,0  
70,도미니카연방,16 ,0  
71,세인트키츠네비스,15 ,0  
72,브라질,"411,821 ","25,598 "
73,페루,"135,905 ","3,983  "
74,에콰도르,"38,103 ","3,275  "
75,칠레,"82,289 ",841  
76,콜롬비아 ,"21,981 ",750  
77,아르헨티나,"12,628 ",471  
78,볼리비아,"6,660 ",261  
79,우루과이,787 ,22  
80,파라과이,877 ,11  
81,베네수엘라,"1,177 ",10  
82,가이아나,137 ,11  
83,수리남,11 ,1  
84,이탈리아,"231,139 ","33,070 "
85,독일,"181,524 ","8,428  "
86,프랑스,"145,746 ","28,596  "
87,영국,"267,240 ","37,460  "
88,스페인,"236,769 ","27,118  "
89,오스트리아,"16,539 ",645  
90,크로아티아,"2,244 ",101  
91,핀란드,"6,628 ",312  
92,스웨덴,"35,088 ","4,220  "
93,스위스,"30,776 ","1,649  "
94,벨기에,"57,592 ","9,364  "
95,덴마크,"11,428 ",563  
96,에스토니아,"1,834 ",65  
97,조지아,735 ,12  
98,그리스,"2,892 ",173  
99,북마케도니아,"2,015 ",116  
100,노르웨이,"8,364 ",235  
101,루마니아,"18,594 ","1,219  "
102,네덜란드,"45,768 ","5,871  "
103,벨라루스,"38,059 ",208  
104,리투아니아,"1,639 ",65  
105,산마리노,672 ,41  
106,아제르바이잔,"4,403 ",52  
107,아이슬란드,"1,804 ",10  
108,모나코,98 ,1  
109,룩셈부르크,"3,995 ",110  
110,아르메니아,"7,774 ",98  
111,아일랜드,"24,803 ","1,631  "
112,체코,"9,050 ",317  
113,포르투갈,"31,292 ","1,356  "
114,라트비아,"1,053 ",22  
115,안도라,763 ,51  
116,폴란드,"22,473 ","1,028  "
117,우크라이나,"21,905 ",658  
118,헝가리,"3,793 ",505  
119,보스니아 헤르체고비나,"2,415 ",149  
120,슬로베니아,"1,509 ",107  
121,리히텐슈타인,83 ,1  
122,세르비아,"11,227 ",239  
123,슬로바키아,"1,513 ",28  
124,불가리아,"2,460 ",133  
125,몰타,611 ,6  
126,몰도바,"7,305 ",273  
127,알바니아,"1,050 ",33  
128,사이프러스,939 ,17  
129,터키,"159,797 ","4,431  "
130,몬테네그로,324 ,9  
131,코소보,"1,038 ",30  
132,호주,"7,133 ",105 
133,뉴질랜드,"1,154 ",21  
134,피지,18 ,0  
135,파푸아뉴기니,8 ,0  
136,나이지리아,"8,344 ",249 
137,세네갈,"3,161 ",37  
138,카메룬,"5,436 ",177  
139,남아프리카공화국,"24,264 ",524  
140,토고,391 ,13  
141,부르키나파소,845 ,53  
142,DR콩고,"2,402 ",67  
143,코트디부아르,"2,477 ",30  
144,수단,"4,146 ",184  
145,에티오피아,701 ,6  
146,가봉,"2,238 ",14  
147,가나,"6,964 ",32  
148,기니,"3,358 ",20  
149,케냐,"1,348 ",52  
150,나미비아,21 ,0  
151,중앙아프리카공화국,652 ,1  
152,콩고,569 ,19  
153,적도기니,"1,043 ",12  
154,에스와티니,261 ,2  
155,모리타니아,262 ,9  
156,르완다,339 ,0  
157,세이쉘,11 ,0  
158,베냉,208 ,3  
159,라이베리아,266 ,26  
160,탄자니아,509 ,21  
161,지부티,"2,697 ",18  
162,감비아,25 ,1  
163,잠비아,920 ,7  
164,모리셔스,334 ,10  
165,차드,700 ,62  
166,니제르,952 ,63  
167,카보베르데,390 ,4  
168,짐바브웨,56 ,4  
169,소말리아,"1,731 ",67  
170,마다가스카르,586 ,2  
171,앙골라,71 ,4  
172,에리트레아,39 ,0  
173,우간다,341 ,0  
174,모잠비크,213 ,1  
175,기니비사우,"1,173 ",6  
176,말리,"1,077 ",70  
177,보츠와나,35 ,1  
178,브룬디,42 ,1  
179,시에라리온,754 ,44  
180,말라위,101 ,4  
181,남수단,806 ,8  
182,상투메프린시페,295 ,10  
183,코모로,43 ,1  
184,레소토,2 ,0  
185,일본크루즈 포함 34개 영토,"9,640",310
186,합계,"5,618,169","353,882"
