,0,1,2
0,지역 및 국가,발생,사망
1,중국,"82,875 ","4,633 "
2,홍콩,"1,039 ",4  
3,대만,429 ,6  
4,마카오,45 ,0  
5,일본,"14,545  ",458  
6,싱가포르,"17,101  ",16  
7,태국,"2,960  ",54  
8,말레이시아,"6,002  ",102  
9,베트남,270  ,0  
10,인도,"35,043  ","1,147  "
11,필리핀,"8,488  ",568  
12,캄보디아,122  ,0  
13,네팔,54  ,0  
14,러시아,"114,431  ","1,169  "
15,스리랑카,665  ,7  
16,아프가니스탄,"2,171  ",64  
17,파키스탄,"17,611  ",406  
18,인도네시아,"10,118  ",792  
19,부탄,7  ,0  
20,몰디브,396  ,0  
21,방글라데시,"7,667  ",168  
22,브루나이,138  ,1  
23,몽골,38  ,0  
24,카자흐스탄,"3,551 ",25 
25,우즈베키스탄,"2,046 ",9 
26,키르기스스탄,756 ,8 
27,동티모르,24 ,0 
28,미얀마,151 ,6 
29,라오스,16 ,0 
30,타지키스탄,15 ,0 
31,이란,"95,646 ","6,091 "
32,쿠웨이트,"4,377 ",30  
33,바레인,"3,169 ",8  
34,아랍에미리트,"13,038 ",111  
35,이라크,"2,085 ",93  
36,오만,"2,447 ",11  
37,레바논,729 ,24  
38,이스라엘,"16,004 ",223  
39,이집트,"5,895 ",406  
40,알제리,"4,006 ",450  
41,카타르,"14,096 ",12  
42,요르단,453 ,8  
43,튀니지,994 ,41  
44,사우디아라비아,"24,097 ",169  
45,모로코,"4,529 ",171  
46,시리아,43 ,3 
47,리비아,63,3
48,예멘,6 ,2 
49,미국,"1,100,197 ","64,600 "
50,캐나다,"53,657 ","3,223  "
51,브라질,"91,589 ","6,329  "
52,멕시코,"20,739 ","1,972 "
53,에콰도르,"24,934 ",900  
54,도미니카공화국,"6,972 ",301  
55,아르헨티나,"4,304 ",215  
56,칠레,"16,023 ",227  
57,콜롬비아,"6,211 ",278  
58,페루,"40,459 ","1,124  "
59,코스타리카,713 ,6  
60,파라과이,249 ,9  
61,파나마,"6,378 ",178  
62,볼리비아,"1,110 ",59 
63,자메이카,396 ,7 
64,온두라스,771 ,71 
65,세인트빈센트그레나딘,16 ,0 
66,쿠바,"1,501 ",61 
67,가이아나,78 ,8 
68,베네수엘라,331 ,10 
69,앤티가바부다,24 ,3 
70,트리니다드토바고,116 ,8 
71,우루과이,630 ,15 
72,세인트루시아,17 ,0 
73,수리남,10 ,1 
74,과테말라,585 ,16 
75,바하마,80 ,11 
76,엘살바도르,395,9
77,바베이도스,80 ,7 
78,니카라과,14,3
79,아이티,76 ,7 
80,그레나다,20,0
81,벨리즈,18 ,2 
82,도미니카연방,16 ,0 
83,세인트키츠네비스,15 ,0 
84,이탈리아,"207,428 ","28,236 "
85,독일,"164,077 ","6,736  "
86,프랑스,"130,185 ","24,594  "
87,영국,"177,454 ","27,510  "
88,스페인,"215,216 ","24,824  "
89,오스트리아,"15,478 ",580  
90,크로아티아,"2,076 ",69  
91,핀란드,"4,995 ",211  
92,스웨덴,"21,520 ","2,653  "
93,스위스,"29,705 ","1,435  "
94,벨기에,"49,032 ","7,703  "
95,덴마크,"9,158 ",452  
96,에스토니아,"1,689 ",52  
97,조지아,566 ,6  
98,그리스,"2,591 ",140  
99,북마케도니아,"1,465 ",77  
100,노르웨이,"7,710 ",204  
101,루마니아,"12,567 ",726  
102,네덜란드,"39,791 ","4,893  "
103,벨라루스,"14,027 ",89  
104,리투아니아,"1,385 ",45  
105,산마리노,569 ,41  
106,아제르바이잔,"1,804 ",24  
107,아이슬란드,"1,797 ",10  
108,모나코,98 ,1  
109,룩셈부르크,"3,784 ",90  
110,아르메니아,"2,148 ",33  
111,아일랜드,"20,833 ","1,265  "
112,체코,"7,682 ",236  
113,포르투갈,"25,351 ","1,007  "
114,라트비아,858 ,15  
115,안도라,746 ,42  
116,폴란드,"13,105 ",651  
117,우크라이나,"10,861 ",272  
118,헝가리,"2,863 ",323  
119,보스니아 헤르체고비나,"1,757 ",68  
120,슬로베니아,"1,429 ",91  
121,리히텐슈타인,83 ,1  
122,세르비아,"9,009 ",179  
123,슬로바키아,"1,396 ",23  
124,불가리아,"1,506 ",66  
125,몰타,465 ,4  
126,몰도바,"3,897 ",119 
127,알바니아,773 ,31  
128,사이프러스,850 ,20  
129,터키,"122,392 ","3,258 "
130,몬테네그로,322 ,7 
131,코소보,799,22
132,호주,"6,762 ",92 
133,뉴질랜드,"1,132 ",19  
134,피지,18 ,0 
135,파푸아뉴기니,8 ,0 
136,나이지리아,"1,932 ",58 
137,세네갈,933  ,9  
138,카메룬,"1,832  ",61  
139,남아프리카공화국,"5,647  ",103  
140,토고,116  ,9  
141,부르키나파소,645 ,43 
142,DR콩고,572 ,31 
143,코트디부아르,"1,275 ",14 
144,수단,442 ,31 
145,에티오피아,131 ,3 
146,가봉,276 ,3 
147,가나,"2,074 ",17 
148,기니,"1,495 ",7 
149,케냐,396 ,17 
150,나미비아,16 ,0 
151,중앙아프리카공화국,64 ,0 
152,콩고,220 ,9 
153,적도기니,315 ,2 
154,에스와티니,100 ,1 
155,모리타니아,8 ,1 
156,르완다,243 ,0 
157,세이쉘,11 ,0 
158,베냉,84 ,2 
159,라이베리아,141 ,16 
160,탄자니아,480 ,17 
161,지부티,"1,097 ",2 
162,감비아,12 ,1 
163,잠비아,106 ,3 
164,모리셔스,332 ,10 
165,차드,73 ,3 
166,니제르,719 ,32 
167,카보베르데,121 ,1 
168,짐바브웨,32 ,4 
169,소말리아,601 ,28 
170,마다가스카르,132 ,0 
171,앙골라,27 ,2 
172,에리트레아,39 ,0 
173,우간다,81 ,0 
174,모잠비크,76,0
175,기니비사우,201 ,1 
176,말리,490 ,26 
177,보츠와나,23 ,1 
178,브룬디,15 ,1 
