,0,1,2
0,지역 및 국가,발생,사망
1,중국,"82,804 ","4,632 "
2,홍콩,"1,035 ",4  
3,대만,427 ,6  
4,마카오,45 ,0  
5,일본,"12,388 ",317 
6,싱가포르,"11,178 ",12  
7,태국,"2,839 ",50  
8,말레이시아,"5,532 ",93  
9,베트남,268 ,0  
10,인도,"21,700 ",686  
11,필리핀,"6,710 ",446  
12,캄보디아,122 ,0  
13,네팔,45 ,0  
14,러시아,"62,773 ",555  
15,스리랑카,330 ,7  
16,아프가니스탄,"1,176 ",40  
17,파키스탄,"10,815 ",228  
18,인도네시아,"7,418 ",635  
19,부탄,7 ,0  
20,몰디브,85 ,0  
21,방글라데시,"3,772 ",120  
22,브루나이,138 ,1  
23,몽골,35 ,0  
24,카자흐스탄,"2,025 ",19 
25,우즈베키스탄,"1,716 ",7 
26,키르기스스탄,631 ,8 
27,동티모르,23 ,0 
28,미얀마,127 ,5 
29,라오스,16 ,0 
30,이란,"87,026 ","5,481 "
31,쿠웨이트,"2,399 ",14  
32,바레인,"2,098 ",8  
33,아랍에미리트,"8,756 ",56  
34,이라크,"1,677 ",83  
35,오만,"1,716 ",8  
36,레바논,688 ,22  
37,이스라엘,"14,803 ",192  
38,이집트,"3,659 ",276  
39,알제리,"2,910 ",402  
40,카타르,"7,764 ",10  
41,요르단,435 ,7  
42,튀니지,909 ,38  
43,사우디아라비아,"13,930 ",121  
44,모로코,"3,537 ",151  
45,시리아,42 ,3 
46,리비아,60,1
47,예멘,1 ,0 
48,미국,"873,137 ","49,759 "
49,캐나다,"42,099 ","2,146  "
50,브라질,"49,492 ","3,313  "
51,멕시코,"10,544 ",970  
52,에콰도르,"11,183 ",560  
53,도미니카공화국,"5,300 ",260  
54,아르헨티나,"3,197 ",152  
55,칠레,"11,812 ",168  
56,콜롬비아,"4,149 ",196  
57,페루,"20,914 ",572  
58,코스타리카,669 ,6  
59,파라과이,213 ,9  
60,파나마,"4,821 ",141  
61,볼리비아,609 ,37 
62,자메이카,233 ,6 
63,온두라스,510 ,46 
64,세인트빈센트그레나딘,13 ,0 
65,쿠바,"1,189 ",40 
66,가이아나,67 ,7 
67,베네수엘라,288 ,10 
68,앤티가바부다,24 ,3 
69,트리니다드토바고,115 ,8 
70,우루과이,543 ,12 
71,세인트루시아,15 ,0 
72,수리남,10 ,1 
73,과테말라,316 ,8 
74,바하마,65 ,9 
75,엘살바도르,237,7
76,바베이도스,75 ,5 
77,니카라과,10,2
78,아이티,58 ,4 
79,그레나다,14,0
80,벨리즈,18 ,2 
81,도미니카연방,16 ,0 
82,세인트키츠네비스,15 ,0 
83,이탈리아,"189,973 ","25,549 "
84,독일,"153,129 ","5,575  "
85,프랑스,"120,804 ","21,856  "
86,영국,"138,078 ","18,738  "
87,스페인,"213,024 ","22,157  "
88,오스트리아,"14,963 ",522  
89,크로아티아,"1,950 ",48  
90,핀란드,"4,129 ",149  
91,스웨덴,"16,755 ","2,021  "
92,스위스,"28,496 ","1,268  "
93,벨기에,"42,797 ","6,490  "
94,덴마크,"7,912 ",384  
95,에스토니아,"1,559 ",44  
96,조지아,420 ,5  
97,그리스,"2,408 ",121  
98,북마케도니아,"1,259 ",56  
99,노르웨이,"7,250 ",169  
100,루마니아,"9,710 ",508  
101,네덜란드,"35,729 ","4,177  "
102,벨라루스,"7,281 ",60  
103,리투아니아,"1,398 ",38  
104,산마리노,488 ,40  
105,아제르바이잔,"1,518 ",20  
106,아이슬란드,"1,785 ",10  
107,모나코,98 ,1  
108,룩셈부르크,"3,654 ",80  
109,아르메니아,"1,473 ",24  
110,아일랜드,"16,671 ",794  
111,체코,"7,136 ",210  
112,포르투갈,"22,353 ",820  
113,라트비아,761 ,11  
114,안도라,724 ,37  
115,폴란드,"10,511 ",454  
116,우크라이나,"7,170 ",187  
117,헝가리,"2,284 ",225  
118,보스니아 헤르체고비나,"1,367 ",52  
119,슬로베니아,"1,353 ",79  
120,리히텐슈타인,82 ,1  
121,세르비아,"7,114 ",134  
122,슬로바키아,"1,244 ",14  
123,불가리아,"1,024 ",49  
124,몰타,444 ,3  
125,몰도바,"2,778 ",76  
126,알바니아,634 ,27  
127,사이프러스,790 ,17  
128,터키,"101,790 ","2,491 "
129,몬테네그로,314 ,5 
130,코소보,630,18
131,호주,"6,654 ",74 
132,뉴질랜드,"1,112 ",16  
133,피지,18 ,0 
134,파푸아뉴기니,8 ,0 
135,나이지리아,541 ,19 
136,세네갈,442 ,6  
137,카메룬,"1,163 ",43  
138,남아프리카공화국,"3,635 ",65  
139,토고,88 ,6  
140,부르키나파소,600 ,38 
141,DR콩고,359 ,25 
142,코트디부아르,952 ,14 
143,수단,162 ,13 
144,에티오피아,116 ,3 
145,가봉,166 ,1 
