,0,1,2
0,지역 및 국가,발생,사망
1,중국,"82,858 ","4,633 "
2,홍콩,"1,037 ",4  
3,대만,429 ,6  
4,마카오,45 ,0  
5,일본,"13,852 ",389 
6,싱가포르,"14,951 ",14  
7,태국,"2,938 ",54  
8,말레이시아,"5,820 ",99  
9,베트남,270 ,0  
10,인도,"29,435 ",934  
11,필리핀,"7,777 ",511 
12,캄보디아,122 ,0  
13,네팔,52 ,0  
14,러시아,"93,556 ",867  
15,스리랑카,523 ,7  
16,아프가니스탄,"1,827 ",60  
17,파키스탄,"14,079 ",301  
18,인도네시아,"9,096 ",765  
19,부탄,7 ,0  
20,몰디브,214 ,0  
21,방글라데시,"5,913 ",152  
22,브루나이,138 ,1  
23,몽골,38 ,0  
24,카자흐스탄,"2,982 ",25 
25,우즈베키스탄,"1,924 ",8 
26,키르기스스탄,708 ,8 
27,동티모르,24 ,0 
28,미얀마,146 ,5 
29,라오스,16 ,0 
30,이란,"92,584 ","5,877 "
31,쿠웨이트,"3,440 ",23  
32,바레인,"2,810 ",8  
33,아랍에미리트,"11,380 ",89  
34,이라크,"1,847 ",88  
35,오만,"2,131 ",10  
36,레바논,717 ,24  
37,이스라엘,"15,589 ",208  
38,이집트,"5,042 ",359  
39,알제리,"3,517 ",432  
40,카타르,"11,921 ",10  
41,요르단,449 ,8  
42,튀니지,967 ,39  
43,사우디아라비아,"20,077 ",152  
44,모로코,"4,246 ",163  
45,시리아,43 ,3 
46,리비아,61,2
47,예멘,1 ,0 
48,미국,"1,011,600 ","58,343 "
49,캐나다,"50,015 ","2,859  "
50,브라질,"71,886 ","5,017  "
51,멕시코,"15,529 ","1,434  "
52,에콰도르,"24,258 ",871  
53,도미니카공화국,"6,293 ",282  
54,아르헨티나,"3,892 ",192  
55,칠레,"14,365 ",207  
56,콜롬비아,"5,379 ",244  
57,페루,"31,190 ",854  
58,코스타리카,695 ,6  
59,파라과이,228 ,9  
60,파나마,"5,779 ",165  
61,볼리비아,950 ,50 
62,자메이카,305 ,7 
63,온두라스,661 ,61 
64,세인트빈센트그레나딘,15 ,0 
65,쿠바,"1,389 ",56 
66,가이아나,74 ,8 
67,베네수엘라,325 ,10 
68,앤티가바부다,24 ,3 
69,트리니다드토바고,116 ,8 
70,우루과이,606 ,15 
71,세인트루시아,15 ,0 
72,수리남,10 ,1 
73,과테말라,500 ,15 
74,바하마,80 ,11 
75,엘살바도르,323,8
76,바베이도스,79 ,6 
77,니카라과,13,3
78,아이티,74 ,6 
79,그레나다,18,0
80,벨리즈,18 ,2 
81,도미니카연방,16 ,0 
82,세인트키츠네비스,15 ,0 
83,이탈리아,"201,505 ","27,359 "
84,독일,"159,735 ","6,280  "
85,프랑스,"126,835* ","23,660  "
86,영국,"161,145 ","21,678  "
87,스페인,"210,773 ","23,822  "
88,오스트리아,"15,314 ",550  
89,크로아티아,"2,039 ",59  
90,핀란드,"4,695 ",193  
91,스웨덴,"19,621 ","2,355  "
92,스위스,"29,264 ","1,380  "
93,벨기에,"47,334 ","7,331  "
94,덴마크,"8,698 ",427  
95,에스토니아,"1,647 ",50  
96,조지아,511 ,6  
97,그리스,"2,534 ",136  
98,북마케도니아,"1,399 ",65  
99,노르웨이,"7,533 ",193  
100,루마니아,"11,616 ",650  
101,네덜란드,"38,416 ","4,566  "
102,벨라루스,"12,208 ",79  
103,리투아니아,"1,449 ",41  
104,산마리노,538 ,41  
105,아제르바이잔,"1,678 ",22  
106,아이슬란드,"1,792 ",10  
107,모나코,98 ,1  
108,룩셈부르크,"3,729 ",88  
109,아르메니아,"1,867 ",30  
110,아일랜드,"19,877 ","1,159  "
111,체코,"7,449 ",223  
112,포르투갈,"24,322 ",948  
113,라트비아,818 ,13  
114,안도라,748 ,40  
115,폴란드,"12,218 ",596  
116,우크라이나,"9,410 ",239  
117,헝가리,"2,649 ",291  
118,보스니아 헤르체고비나,"1,564 ",60  
119,슬로베니아,"1,407 ",82  
120,리히텐슈타인,83 ,1  
121,세르비아,"8,275 ",162  
122,슬로바키아,"1,381 ",18  
123,불가리아,"1,363 ",58  
124,몰타,450 ,4  
125,몰도바,"3,481 ",103  
126,알바니아,736 ,28  
127,사이프러스,822 ,20  
128,터키,"114,653 ","2,992 "
129,몬테네그로,321 ,7 
130,코소보,780,22
131,호주,"6,725 ",84 
132,뉴질랜드,"1,124 ",19  
133,피지,18 ,0 
134,파푸아뉴기니,8 ,0 
135,나이지리아,"1,337 ",40 
136,세네갈,735 ,9  
137,카메룬,"1,621 ",56  
138,남아프리카공화국,"4,793 ",90  
139,토고,99 ,6  
140,부르키나파소,632 ,42 
141,DR콩고,471 ,30 
142,코트디부아르,"1,164 ",14 
143,수단,318 ,25 
144,에티오피아,124 ,3 
145,가봉,176 ,3 
146,가나,"1,550 ",11 
147,기니,"1,163 ",7 
148,케냐,363 ,14 
149,나미비아,16 ,0 
150,중앙아프리카공화국,42 ,0 
151,콩고,207 ,8 
152,적도기니,258 ,1 
153,에스와티니,65 ,1 
154,모리타니아,7 ,1 
155,르완다,207 ,0 
156,세이쉘,11 ,0 
157,베냉,64 ,1 
158,라이베리아,133 ,16 
159,탄자니아,300 ,10 
160,지부티,"1,072 ",2 
161,감비아,10 ,1 
162,잠비아,89 ,3 
163,모리셔스,334 ,9 
164,차드,46 ,0 
165,니제르,701 ,29 
166,카보베르데,106 ,1 
167,짐바브웨,31 ,4 
168,소말리아,528 ,28 
169,마다가스카르,128 ,0 
170,앙골라,27 ,2 
171,에리트레아,39 ,0 
172,우간다,79 ,0 
173,모잠비크,76,0
174,기니비사우,73 ,1 
175,말리,408 ,23 
176,보츠와나,22 ,1 
177,브룬디,15 ,1 
178,시에라리온,99 ,4 
179,말라위,36 ,3 
180,남수단,6 ,0 
181,상투메프린시페,8 ,0 
182,일본 크루즈,712 ,13 
183,팔레스타인 ,343 ,2  
184,지브롤터,141 ,0  
185,세인트마틴,38 ,2  
186,생바르텔레미,6 ,0  
187,바티칸,9 ,0  
188,마르티니크,175 ,14  
189,프랑스령 기아나,111 ,1  
190,패로제도,187 ,0  
191,건지섬,247 ,13  
192,프랑스령 폴리네시아,58 ,0  
193,저지섬,281 ,19  
194,프랑스령 레위니옹,418 ,0  
195,과들루프,149 ,13  
196,케이맨제도,70 ,1  
197,퀴라소,16 ,1  
198,마요트,433 ,4  
199,푸에르토리코,"1,389 ",53 
200,괌,138 ,5 
201,미국령 버진아일랜드,59 ,4 
202,아루바,100 ,2 
203,버뮤다,109 ,6 
204,신트마르틴,74 ,13 
205,몬트세라트,11 ,0 
206,뉴칼레도니아,18 ,0 
207,그린랜드,11 ,0 
208,맨섬,308 ,18 
209,터크스 케이커스 제도,12 ,1 
210,앵귈라,3 ,0 
211,영국령 버진아일랜드,6 ,1 
212,북마리아나제도,14 ,2 
213,카리브 네덜란드,6 ,0 
214,포클랜드제도,13 ,0 
215,생피에르미클롱,1 ,0 
216,합계,"3,034,444","216,020"
