,0,1,2
0,지역 및 국가,발생,사망
1,중국,"82,836 ","4,633 "
2,홍콩,"1,037 ",4  
3,대만,429 ,6  
4,마카오,45 ,0  
5,일본,"13,576 ",376  
6,싱가포르,"14,423 ",14  
7,태국,"2,931 ",52  
8,말레이시아,"5,780 ",98  
9,베트남,270 ,0  
10,인도,"28,380 ",886  
11,필리핀,"7,579 ",501  
12,캄보디아,122 ,0  
13,네팔,51 ,0  
14,러시아,"87,147 ",795  
15,스리랑카,523 ,7  
16,아프가니스탄,"1,703 ",57  
17,파키스탄,"13,915 ",292  
18,인도네시아,"8,882 ",743  
19,부탄,7 ,0  
20,몰디브,188 ,0  
21,방글라데시,"5,416 ",145  
22,브루나이,138 ,1  
23,몽골,38 ,0  
24,카자흐스탄,"2,791 ",25 
25,우즈베키스탄,"1,887 ",8 
26,키르기스스탄,695 ,8 
27,동티모르,24 ,0 
28,미얀마,146 ,5 
29,라오스,16 ,0 
30,이란,"91,472 ","5,806 "
31,쿠웨이트,"3,288 ",22  
32,바레인,"2,708 ",8  
33,아랍에미리트,"10,349 ",76  
34,이라크,"1,820 ",87  
35,오만,"2,049 ",10  
36,레바논,710 ,24  
37,이스라엘,"15,466 ",202  
38,이집트,"4,782 ",337  
39,알제리,"3,382 ",425  
40,카타르,"11,244 ",10  
41,요르단,449 ,7  
42,튀니지,949 ,38  
43,사우디아라비아,"18,811 ",144  
44,모로코,"4,115 ",161  
45,시리아,43 ,3 
46,리비아,61,2
47,예멘,1 ,0 
48,미국,"987,022 ","55,952 "
49,캐나다,"48,489 ","2,707  "
50,브라질,"66,501 ","4,543  "
51,멕시코,"14,677 ","1,351  "
52,에콰도르,"22,719 ",576  
53,도미니카공화국,"6,135 ",278  
54,아르헨티나,"3,838 ",179  
55,칠레,"13,813 ",198  
56,콜롬비아,"5,142 ",233  
57,페루,"28,699 ",782  
58,코스타리카,693 ,6  
59,파라과이,228 ,9  
60,파나마,"5,538 ",159  
61,볼리비아,866 ,46 
62,자메이카,305 ,7 
63,온두라스,627 ,59 
64,세인트빈센트그레나딘,14 ,0 
65,쿠바,"1,369 ",54 
66,가이아나,74 ,8 
67,베네수엘라,323 ,10 
68,앤티가바부다,24 ,3 
69,트리니다드토바고,115 ,8 
70,우루과이,596 ,14 
71,세인트루시아,15 ,0 
72,수리남,10 ,1 
73,과테말라,473 ,15 
74,바하마,78 ,11 
75,엘살바도르,298,8
76,바베이도스,79 ,6 
77,니카라과,13,3
78,아이티,72 ,6 
79,그레나다,18,0
80,벨리즈,18 ,2 
81,도미니카연방,16 ,0 
82,세인트키츠네비스,15 ,0 
83,이탈리아,"199,414 ","26,977 "
84,독일,"158,434 ","6,061  "
85,프랑스,"128,339 ","23,293  "
86,영국,"157,149 ","21,092  "
87,스페인,"209,475 ","23,521  "
88,오스트리아,"15,239 ",549  
89,크로아티아,"2,030 ",55  
90,핀란드,"4,576 ",190  
91,스웨덴,"18,926 ","2,274  "
92,스위스,"29,164 ","1,353  "
93,벨기에,"46,687 ","7,207  "
94,덴마크,"8,575 ",422  
95,에스토니아,"1,643 ",49  
96,조지아,496 ,6  
97,그리스,"2,506 ",130  
98,북마케도니아,"1,386 ",61  
99,노르웨이,"7,505 ",193  
100,루마니아,"11,339 ",631  
101,네덜란드,"38,245 ","4,518  "
102,벨라루스,"11,289 ",75  
103,리투아니아,"1,449 ",41  
104,산마리노,538 ,41  
105,아제르바이잔,"1,645 ",21  
106,아이슬란드,"1,792 ",10  
107,모나코,98 ,1  
108,룩셈부르크,"3,723 ",88  
109,아르메니아,"1,808 ",29  
110,아일랜드,"19,648 ","1,102  "
111,체코,"7,404 ",221  
112,포르투갈,"24,027 ",928  
113,라트비아,812 ,12  
114,안도라,740 ,40  
115,폴란드,"11,902 ",562  
116,우크라이나,"9,009 ",220  
117,헝가리,"2,583 ",280  
118,보스니아 헤르체고비나,"1,516 ",58  
119,슬로베니아,"1,407 ",82  
120,리히텐슈타인,83 ,1  
121,세르비아,"8,042 ",156  
122,슬로바키아,"1,379 ",18  
123,불가리아,"1,300 ",56  
124,몰타,448 ,4  
125,몰도바,"3,408 ",96  
126,알바니아,726 ,28  
127,사이프러스,817 ,17  
128,터키,"112,261 ","2,900 "
129,몬테네그로,321 ,7 
130,코소보,763,21
131,호주,"6,713 ",83 
132,뉴질랜드,"1,122 ",19  
133,피지,18 ,0 
134,파푸아뉴기니,8 ,0 
135,나이지리아,"1,273 ",40 
136,세네갈,671 ,9  
137,카메룬,"1,621 ",56  
138,남아프리카공화국,"4,546 ",87  
139,토고,98 ,6  
140,부르키나파소,632 ,42 
141,DR콩고,459 ,28 
142,코트디부아르,"1,150 ",14 
143,수단,275 ,22 
144,에티오피아,123 ,3 
145,가봉,176 ,3 
146,가나,"1,550 ",11 
147,기니,"1,094 ",7 
148,케냐,355 ,14 
149,나미비아,16 ,0 
150,중앙아프리카공화국,19 ,0 
151,콩고,200 ,8 
152,적도기니,258 ,1 
153,에스와티니,59 ,1 
154,모리타니아,7 ,1 
155,르완다,191 ,0 
156,세이쉘,11 ,0 
157,베냉,64 ,1 
158,라이베리아,124 ,12 
159,탄자니아,300 ,10 
160,지부티,"1,035 ",2 
161,감비아,10 ,1 
162,잠비아,88 ,3 
163,모리셔스,332 ,9 
164,차드,46 ,0 
165,니제르,696 ,29 
166,카보베르데,106 ,1 
167,짐바브웨,31 ,4 
168,소말리아,480 ,26 
169,마다가스카르,128 ,0 
170,앙골라,26 ,2 
171,에리트레아,39 ,0 
172,우간다,75 ,0 
173,모잠비크,76,0
174,기니비사우,53 ,1 
175,말리,389 ,23 
176,보츠와나,22 ,1 
177,브룬디,15 ,1 
178,시에라리온,93 ,4 
179,말라위,34 ,3 
180,남수단,6 ,0 
181,상투메프린시페,8 ,0 
182,일본 크루즈,712 ,13 
183,팔레스타인 ,342 ,2  
184,지브롤터,141 ,0  
185,세인트마틴,38 ,2  
186,생바르텔레미,6 ,0  
187,바티칸,9 ,0  
188,마르티니크,175 ,14  
189,프랑스령 기아나,109 ,1  
190,패로제도,187 ,0  
191,건지섬,245 ,12  
192,프랑스령 폴리네시아,57 ,0  
193,저지섬,280 ,19  
194,프랑스령 레위니옹,417 ,0  
195,과들루프,149 ,13  
196,케이맨제도,70 ,1  
197,퀴라소,14 ,1  
198,마요트,401 ,4  
199,푸에르토리코,"1,371 ",53 
200,괌,137 ,5 
201,미국령 버진아일랜드,55 ,3 
202,아루바,100 ,2 
203,버뮤다,109 ,5 
204,신트마르틴,74 ,13 
205,몬트세라트,11 ,0 
206,뉴칼레도니아,18 ,0 
207,그린랜드,11 ,0 
208,맨섬,308 ,18 
209,터크스 케이커스 제도,11 ,1 
210,앵귈라,3 ,0 
211,영국령 버진아일랜드,6 ,1 
212,북마리아나제도,14 ,2 
213,카리브 네덜란드,5 ,0 
214,포클랜드제도,13 ,0 
215,생피에르미클롱,1 ,0 
216,합계,"2,966,172","209,722"
